|dates|Coos_Oregon_UnitedStates.JHU_ConfirmedCases.data|Coos_Oregon_UnitedStates.JHU_ConfirmedCases.missing|Coos_Oregon_UnitedStates.NYT_ConfirmedCases.data|Coos_Oregon_UnitedStates.NYT_ConfirmedCases.missing|Coos_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|Coos_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|Coos_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|Coos_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4896.0|0|4896.0|0|91.0|0|0.0|100
0|2021-10-18|4925.0|0|4925.0|0|93.0|0|0.0|100
0|2021-10-19|4954.0|0|4954.0|0|94.0|0|0.0|100
0|2021-10-20|4980.0|0|4980.0|0|94.0|0|0.0|100
0|2021-10-21|5012.0|0|5012.0|0|94.0|0|0.0|100
0|2021-10-22|5037.0|0|5037.0|0|94.0|0|0.0|100
0|2021-10-23|5037.0|0|5037.0|0|94.0|0|0.0|100
0|2021-10-24|5037.0|0|5037.0|0|94.0|0|0.0|100
0|2021-10-25|5078.0|0|5078.0|0|94.0|0|0.0|100
0|2021-10-26|5102.0|0|5102.0|0|95.0|0|0.0|100
0|2021-10-27|5123.0|0|5123.0|0|96.0|0|0.0|100
0|2021-10-28|5145.0|0|5145.0|0|96.0|0|0.0|100
0|2021-10-29|5165.0|0|5165.0|0|96.0|0|0.0|100
0|2021-10-30|5165.0|0|5165.0|0|96.0|0|0.0|100
0|2021-10-31|5165.0|0|5165.0|0|96.0|0|0.0|100
0|2021-11-01|5198.0|0|5198.0|0|96.0|0|0.0|100
0|2021-11-02|5222.0|0|5222.0|0|96.0|0|0.0|100
0|2021-11-03|5248.0|0|5248.0|0|96.0|0|0.0|100
0|2021-11-04|5274.0|0|5274.0|0|98.0|0|0.0|100
0|2021-11-05|5294.0|0|5294.0|0|98.0|0|0.0|100
0|2021-11-06|5294.0|0|5294.0|0|98.0|0|0.0|100
0|2021-11-07|5294.0|0|5294.0|0|98.0|0|0.0|100
0|2021-11-08|5332.0|0|5332.0|0|100.0|0|0.0|100
0|2021-11-09|5353.0|0|5353.0|0|101.0|0|0.0|100
0|2021-11-10|5376.0|0|5376.0|0|103.0|0|0.0|100
0|2021-11-11|5376.0|0|5376.0|0|103.0|0|0.0|100
0|2021-11-12|5387.0|0|5387.0|0|103.0|0|0.0|100
0|2021-11-13|5387.0|0|5387.0|0|103.0|0|0.0|100
0|2021-11-14|5387.0|0|5387.0|0|103.0|0|0.0|100
0|2021-11-15|5415.0|0|5415.0|0|103.0|0|0.0|100
0|2021-11-16|5449.0|0|5449.0|0|104.0|0|0.0|100
0|2021-11-17|5473.0|0|5473.0|0|104.0|0|0.0|100
0|2021-11-18|5488.0|0|5488.0|0|104.0|0|0.0|100
