|dates|Duplin_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Duplin_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Duplin_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Duplin_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Duplin_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Duplin_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Duplin_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Duplin_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9811.0|0|9811.0|0|176.0|0|0.0|100
0|2021-10-18|9839.0|0|9839.0|0|177.0|0|0.0|100
0|2021-10-19|9852.0|0|9852.0|0|178.0|0|0.0|100
0|2021-10-20|9871.0|0|9871.0|0|179.0|0|0.0|100
0|2021-10-21|9891.0|0|9891.0|0|179.0|0|0.0|100
0|2021-10-22|9896.0|0|9896.0|0|181.0|0|0.0|100
0|2021-10-23|9896.0|0|9896.0|0|181.0|0|0.0|100
0|2021-10-24|9896.0|0|9896.0|0|181.0|0|0.0|100
0|2021-10-25|9928.0|0|9928.0|0|181.0|0|0.0|100
0|2021-10-26|9931.0|0|9931.0|0|181.0|0|0.0|100
0|2021-10-27|9939.0|0|9939.0|0|182.0|0|0.0|100
0|2021-10-28|9960.0|0|9960.0|0|182.0|0|0.0|100
0|2021-10-29|9972.0|0|9972.0|0|185.0|0|0.0|100
0|2021-10-30|9972.0|0|9972.0|0|185.0|0|0.0|100
0|2021-10-31|9972.0|0|9972.0|0|185.0|0|0.0|100
0|2021-11-01|9997.0|0|9997.0|0|187.0|0|0.0|100
0|2021-11-02|10001.0|0|10001.0|0|187.0|0|0.0|100
0|2021-11-03|10004.0|0|10004.0|0|188.0|0|0.0|100
0|2021-11-04|10011.0|0|10011.0|0|188.0|0|0.0|100
0|2021-11-05|10018.0|0|10018.0|0|188.0|0|0.0|100
0|2021-11-06|10018.0|0|10018.0|0|188.0|0|0.0|100
0|2021-11-07|10018.0|0|10018.0|0|188.0|0|0.0|100
0|2021-11-08|10038.0|0|10038.0|0|191.0|0|0.0|100
0|2021-11-09|10038.0|0|10038.0|0|191.0|0|0.0|100
0|2021-11-10|10038.0|0|10042.0|0|191.0|0|0.0|100
0|2021-11-11|10042.0|0|10042.0|0|191.0|0|0.0|100
0|2021-11-12|10062.0|0|10062.0|0|193.0|0|0.0|100
0|2021-11-13|10062.0|0|10062.0|0|193.0|0|0.0|100
0|2021-11-14|10062.0|0|10062.0|0|193.0|0|0.0|100
