|dates|Washington_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Washington_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Washington_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Washington_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Washington_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7365.0|0|7365.0|0|156.0|0|0.0|100
0|2021-10-18|7371.0|0|7371.0|0|157.0|0|0.0|100
0|2021-10-19|7409.0|0|7409.0|0|157.0|0|0.0|100
0|2021-10-20|7418.0|0|7418.0|0|157.0|0|0.0|100
0|2021-10-21|7422.0|0|7422.0|0|157.0|0|0.0|100
0|2021-10-22|7438.0|0|7438.0|0|158.0|0|0.0|100
0|2021-10-23|7438.0|0|7438.0|0|158.0|0|0.0|100
0|2021-10-24|7438.0|0|7438.0|0|158.0|0|0.0|100
0|2021-10-25|7443.0|0|7443.0|0|160.0|0|0.0|100
0|2021-10-26|7458.0|0|7458.0|0|161.0|0|0.0|100
0|2021-10-27|7459.0|0|7459.0|0|161.0|0|0.0|100
0|2021-10-28|7469.0|0|7469.0|0|162.0|0|0.0|100
0|2021-10-29|7471.0|0|7471.0|0|162.0|0|0.0|100
0|2021-10-30|7471.0|0|7471.0|0|162.0|0|0.0|100
0|2021-10-31|7471.0|0|7471.0|0|162.0|0|0.0|100
0|2021-11-01|7486.0|0|7486.0|0|163.0|0|0.0|100
0|2021-11-02|7497.0|0|7497.0|0|163.0|0|0.0|100
0|2021-11-03|7500.0|0|7500.0|0|164.0|0|0.0|100
0|2021-11-04|7516.0|0|7516.0|0|164.0|0|0.0|100
0|2021-11-05|7522.0|0|7522.0|0|165.0|0|0.0|100
0|2021-11-06|7522.0|0|7522.0|0|165.0|0|0.0|100
0|2021-11-07|7522.0|0|7522.0|0|165.0|0|0.0|100
0|2021-11-08|7526.0|0|7526.0|0|166.0|0|0.0|100
0|2021-11-09|7527.0|0|7527.0|0|167.0|0|0.0|100
0|2021-11-10|7527.0|0|7528.0|0|167.0|0|0.0|100
0|2021-11-11|7528.0|0|7528.0|0|167.0|0|0.0|100
0|2021-11-12|7532.0|0|7532.0|0|167.0|0|0.0|100
0|2021-11-13|7532.0|0|7532.0|0|167.0|0|0.0|100
