|dates|Jones_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Jones_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Jones_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Jones_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Jones_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Jones_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Jones_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Jones_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|13772.0|0|13772.0|0|241.0|0|0.0|100
0|2021-10-18|13789.0|0|13789.0|0|241.0|0|0.0|100
0|2021-10-19|13819.0|0|13819.0|0|241.0|0|0.0|100
0|2021-10-20|13825.0|0|13825.0|0|242.0|0|0.0|100
0|2021-10-21|13838.0|0|13838.0|0|242.0|0|0.0|100
0|2021-10-22|13851.0|0|13851.0|0|242.0|0|0.0|100
0|2021-10-23|13851.0|0|13851.0|0|242.0|0|0.0|100
0|2021-10-24|13851.0|0|13851.0|0|242.0|0|0.0|100
0|2021-10-25|13867.0|0|13867.0|0|243.0|0|0.0|100
0|2021-10-26|13894.0|0|13894.0|0|243.0|0|0.0|100
0|2021-10-27|13904.0|0|13904.0|0|243.0|0|0.0|100
0|2021-10-28|13911.0|0|13911.0|0|243.0|0|0.0|100
0|2021-10-29|13913.0|0|13913.0|0|243.0|0|0.0|100
0|2021-10-30|13913.0|0|13913.0|0|243.0|0|0.0|100
0|2021-10-31|13913.0|0|13913.0|0|243.0|0|0.0|100
0|2021-11-01|13920.0|0|13920.0|0|243.0|0|0.0|100
0|2021-11-02|13923.0|0|13923.0|0|243.0|0|0.0|100
0|2021-11-03|13934.0|0|13934.0|0|243.0|0|0.0|100
0|2021-11-04|13941.0|0|13941.0|0|243.0|0|0.0|100
0|2021-11-05|13947.0|0|13947.0|0|243.0|0|0.0|100
0|2021-11-06|13947.0|0|13947.0|0|243.0|0|0.0|100
0|2021-11-07|13947.0|0|13947.0|0|243.0|0|0.0|100
0|2021-11-08|13961.0|0|13961.0|0|243.0|0|0.0|100
0|2021-11-09|13970.0|0|13970.0|0|243.0|0|0.0|100
0|2021-11-10|13970.0|0|13986.0|0|243.0|0|0.0|100
0|2021-11-11|13986.0|0|13986.0|0|244.0|0|0.0|100
0|2021-11-12|14000.0|0|14000.0|0|244.0|0|0.0|100
0|2021-11-13|14000.0|0|14000.0|0|244.0|0|0.0|100
0|2021-11-14|14000.0|0|14000.0|0|244.0|0|0.0|100
0|2021-11-15|14030.0|0|14030.0|0|246.0|0|0.0|100
0|2021-11-16|14031.0|0|14031.0|0|246.0|0|0.0|100
0|2021-11-17|14032.0|0|14032.0|0|246.0|0|0.0|100
0|2021-11-18|14038.0|0|14038.0|0|246.0|0|0.0|100
0|2021-11-19|14054.0|0|14054.0|0|246.0|0|0.0|100
0|2021-11-20|14054.0|0|14054.0|0|246.0|0|0.0|100
0|2021-11-21|14054.0|0|14054.0|0|246.0|0|0.0|100
0|2021-11-22|14078.0|0|14078.0|0|247.0|0|0.0|100
0|2021-11-23|14083.0|0|14083.0|0|247.0|0|0.0|100
0|2021-11-24|14086.0|0|14086.0|0|247.0|0|0.0|100
0|2021-11-25|14086.0|0|14086.0|0|247.0|0|0.0|100
0|2021-11-26|14086.0|0|14086.0|0|247.0|0|0.0|100
0|2021-11-27|14086.0|0|14086.0|0|247.0|0|0.0|100
0|2021-11-28|14086.0|0|14086.0|0|247.0|0|0.0|100
0|2021-11-29|14113.0|0|14113.0|0|247.0|0|0.0|100
0|2021-11-30|14129.0|0|14129.0|0|247.0|0|0.0|100
