|dates|Larimer_Colorado_UnitedStates.JHU_ConfirmedCases.data|Larimer_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Larimer_Colorado_UnitedStates.NYT_ConfirmedCases.data|Larimer_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Larimer_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Larimer_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Larimer_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Larimer_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|37381.0|0|37381.0|0|292.0|0|0.0|100
0|2021-10-18|37702.0|0|37702.0|0|298.0|0|0.0|100
0|2021-10-19|37829.0|0|37829.0|0|298.0|0|0.0|100
0|2021-10-20|37986.0|0|37986.0|0|300.0|0|0.0|100
0|2021-10-21|38248.0|0|38248.0|0|302.0|0|0.0|100
0|2021-10-22|38435.0|0|38435.0|0|303.0|0|0.0|100
0|2021-10-23|38435.0|0|38435.0|0|303.0|0|0.0|100
0|2021-10-24|38435.0|0|38435.0|0|303.0|0|0.0|100
0|2021-10-25|38813.0|0|38813.0|0|305.0|0|0.0|100
0|2021-10-26|38986.0|0|38986.0|0|306.0|0|0.0|100
0|2021-10-27|39295.0|0|39295.0|0|309.0|0|0.0|100
0|2021-10-28|39512.0|0|39512.0|0|312.0|0|0.0|100
0|2021-10-29|39807.0|0|39807.0|0|313.0|0|0.0|100
0|2021-10-30|39807.0|0|39807.0|0|313.0|0|0.0|100
0|2021-10-31|39807.0|0|39807.0|0|313.0|0|0.0|100
0|2021-11-01|40256.0|0|40256.0|0|313.0|0|0.0|100
0|2021-11-02|40408.0|0|40408.0|0|314.0|0|0.0|100
0|2021-11-03|40635.0|0|40635.0|0|314.0|0|0.0|100
0|2021-11-04|40935.0|0|40935.0|0|319.0|0|0.0|100
0|2021-11-05|41147.0|0|41147.0|0|319.0|0|0.0|100
0|2021-11-06|41147.0|0|41147.0|0|319.0|0|0.0|100
0|2021-11-07|41147.0|0|41147.0|0|319.0|0|0.0|100
0|2021-11-08|41595.0|0|41595.0|0|325.0|0|0.0|100
0|2021-11-09|41749.0|0|41749.0|0|325.0|0|0.0|100
0|2021-11-10|41749.0|0|42016.0|0|325.0|0|0.0|100
0|2021-11-11|42257.0|0|42257.0|0|332.0|0|0.0|100
0|2021-11-12|42489.0|0|42489.0|0|336.0|0|0.0|100
0|2021-11-13|42489.0|0|42489.0|0|336.0|0|0.0|100
0|2021-11-14|42489.0|0|42489.0|0|336.0|0|0.0|100
0|2021-11-15|42915.0|0|42915.0|0|342.0|0|0.0|100
0|2021-11-16|43050.0|0|43050.0|0|345.0|0|0.0|100
0|2021-11-17|43359.0|0|43359.0|0|348.0|0|0.0|100
0|2021-11-18|43623.0|0|43623.0|0|351.0|0|0.0|100
0|2021-11-19|43801.0|0|43801.0|0|353.0|0|0.0|100
0|2021-11-20|43801.0|0|43801.0|0|353.0|0|0.0|100
0|2021-11-21|43801.0|0|43801.0|0|353.0|0|0.0|100
0|2021-11-22|44161.0|0|44161.0|0|355.0|0|0.0|100
0|2021-11-23|44262.0|0|44262.0|0|361.0|0|0.0|100
0|2021-11-24|44436.0|0|44436.0|0|364.0|0|0.0|100
0|2021-11-25|44574.0|0|44574.0|0|365.0|0|0.0|100
0|2021-11-26|44649.0|0|44574.0|0|367.0|0|0.0|100
0|2021-11-27|44649.0|0|44574.0|0|367.0|0|0.0|100
0|2021-11-28|44649.0|0|44649.0|0|367.0|0|0.0|100
0|2021-11-29|44901.0|0|44901.0|0|369.0|0|0.0|100
0|2021-11-30|44901.0|0|45018.0|0|369.0|0|0.0|100
0|2021-12-01|45253.0|0|45253.0|0|375.0|0|0.0|100
0|2021-12-02|45425.0|0|45425.0|0|378.0|0|0.0|100
0|2021-12-03|45611.0|0|45518.0|0|378.0|0|0.0|100
0|2021-12-04|45611.0|0|45611.0|0|378.0|0|0.0|100
