|dates|Heard_Georgia_UnitedStates.JHU_ConfirmedCases.data|Heard_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Heard_Georgia_UnitedStates.NYT_ConfirmedCases.data|Heard_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Heard_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Heard_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Heard_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Heard_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1460.0|0|1462.0|0|33.0|0|0.0|100
0|2021-10-18|1461.0|0|1464.0|0|34.0|0|0.0|100
0|2021-10-19|1461.0|0|1464.0|0|34.0|0|0.0|100
0|2021-10-20|1461.0|0|1464.0|0|35.0|0|0.0|100
0|2021-10-21|1462.0|0|1465.0|0|36.0|0|0.0|100
0|2021-10-22|1464.0|0|1467.0|0|36.0|0|0.0|100
0|2021-10-23|1464.0|0|1467.0|0|36.0|0|0.0|100
0|2021-10-24|1464.0|0|1467.0|0|36.0|0|0.0|100
0|2021-10-25|1468.0|0|1471.0|0|36.0|0|0.0|100
0|2021-10-26|1468.0|0|1471.0|0|37.0|0|0.0|100
0|2021-10-27|1468.0|0|1471.0|0|37.0|0|0.0|100
0|2021-10-28|1468.0|0|1471.0|0|37.0|0|0.0|100
0|2021-10-29|1468.0|0|1471.0|0|37.0|0|0.0|100
0|2021-10-30|1468.0|0|1471.0|0|37.0|0|0.0|100
0|2021-10-31|1468.0|0|1471.0|0|37.0|0|0.0|100
0|2021-11-01|1470.0|0|1474.0|0|37.0|0|0.0|100
0|2021-11-02|1472.0|0|1476.0|0|37.0|0|0.0|100
0|2021-11-03|1472.0|0|1476.0|0|37.0|0|0.0|100
0|2021-11-04|1474.0|0|1478.0|0|38.0|0|0.0|100
0|2021-11-05|1474.0|0|1478.0|0|40.0|0|0.0|100
0|2021-11-06|1474.0|0|1478.0|0|40.0|0|0.0|100
0|2021-11-07|1474.0|0|1478.0|0|40.0|0|0.0|100
0|2021-11-08|1474.0|0|1479.0|0|40.0|0|0.0|100
0|2021-11-09|1476.0|0|1481.0|0|41.0|0|0.0|100
0|2021-11-10|1476.0|0|1481.0|0|41.0|0|0.0|100
0|2021-11-11|1476.0|0|1481.0|0|41.0|0|0.0|100
0|2021-11-12|1477.0|0|1482.0|0|41.0|0|0.0|100
0|2021-11-13|1477.0|0|1482.0|0|41.0|0|0.0|100
0|2021-11-14|1477.0|0|1482.0|0|41.0|0|0.0|100
0|2021-11-15|1479.0|0|1484.0|0|41.0|0|0.0|100
0|2021-11-16|1481.0|0|1486.0|0|41.0|0|0.0|100
0|2021-11-17|1484.0|0|1489.0|0|41.0|0|0.0|100
0|2021-11-18|1484.0|0|1489.0|0|41.0|0|0.0|100
0|2021-11-19|1486.0|0|1491.0|0|41.0|0|0.0|100
0|2021-11-20|1486.0|0|1491.0|0|41.0|0|0.0|100
0|2021-11-21|1486.0|0|1491.0|0|41.0|0|0.0|100
0|2021-11-22|1486.0|0|1491.0|0|41.0|0|0.0|100
0|2021-11-23|1487.0|0|1492.0|0|41.0|0|0.0|100
0|2021-11-24|1488.0|0|1493.0|0|42.0|0|0.0|100
0|2021-11-25|1488.0|0|1493.0|0|42.0|0|0.0|100
0|2021-11-26|1488.0|0|1493.0|0|42.0|0|0.0|100
0|2021-11-27|1488.0|0|1493.0|0|42.0|0|0.0|100
0|2021-11-28|1488.0|0|1493.0|0|42.0|0|0.0|100
0|2021-11-29|1488.0|0|1493.0|0|42.0|0|0.0|100
0|2021-11-30|1490.0|0|1496.0|0|42.0|0|0.0|100
0|2021-12-01|1491.0|0|1497.0|0|42.0|0|0.0|100
0|2021-12-02|1491.0|0|1498.0|0|42.0|0|0.0|100
0|2021-12-03|1492.0|0|1498.0|0|42.0|0|0.0|100
0|2021-12-04|1492.0|0|1498.0|0|42.0|0|0.0|100
0|2021-12-05|1492.0|0|1498.0|0|42.0|0|0.0|100
0|2021-12-06|1497.0|0|1503.0|0|42.0|0|0.0|100
0|2021-12-07|1497.0|0|1503.0|0|42.0|0|0.0|100
0|2021-12-08|1498.0|0|1504.0|0|42.0|0|0.0|100
0|2021-12-09|1498.0|0|1504.0|0|42.0|0|0.0|100
0|2021-12-10|1501.0|0|1507.0|0|42.0|0|0.0|100
0|2021-12-11|1501.0|0|1507.0|0|42.0|0|0.0|100
0|2021-12-12|1501.0|0|1507.0|0|42.0|0|0.0|100
0|2021-12-13|1507.0|0|1513.0|0|42.0|0|0.0|100
0|2021-12-14|1507.0|0|1516.0|0|42.0|0|0.0|100
0|2021-12-15|1511.0|0|1517.0|0|42.0|0|0.0|100
0|2021-12-16|1513.0|0|1519.0|0|42.0|0|0.0|100
0|2021-12-17|1515.0|0|1521.0|0|42.0|0|0.0|100
0|2021-12-18|1515.0|0|1521.0|0|42.0|0|0.0|100
0|2021-12-19|1515.0|0|1521.0|0|42.0|0|0.0|100
0|2021-12-20|1523.0|0|1529.0|0|42.0|0|0.0|100
0|2021-12-21|1527.0|0|1533.0|0|43.0|0|0.0|100
0|2021-12-22|1532.0|0|1538.0|0|43.0|0|0.0|100
0|2021-12-23|1537.0|0|1543.0|0|43.0|0|0.0|100
0|2021-12-24|1541.0|0|1547.0|0|43.0|0|0.0|100
0|2021-12-25|1541.0|0|1547.0|0|43.0|0|0.0|100
0|2021-12-26|1541.0|0|1547.0|0|43.0|0|0.0|100
0|2021-12-27|1564.0|0|1570.0|0|43.0|0|0.0|100
0|2021-12-28|1570.0|0|1576.0|0|43.0|0|0.0|100
0|2021-12-29|1596.0|0|1602.0|0|43.0|0|0.0|100
0|2021-12-30|1617.0|0|1623.0|0|43.0|0|0.0|100
0|2021-12-31|1630.0|0|1636.0|0|43.0|0|0.0|100
0|2022-01-01|1630.0|0|1636.0|0|43.0|0|0.0|100
0|2022-01-02|1630.0|0|1636.0|0|43.0|0|0.0|100
0|2022-01-03|1630.0|0|1636.0|0|43.0|0|0.0|100
0|2022-01-04|1678.0|0|1684.0|0|43.0|0|0.0|100
0|2022-01-05|1702.0|0|1708.0|0|43.0|0|0.0|100
0|2022-01-06|1702.0|0|1708.0|0|43.0|0|0.0|100
0|2022-01-07|1702.0|0|1708.0|0|43.0|0|0.0|100
0|2022-01-08|1702.0|0|1708.0|0|43.0|0|0.0|100
0|2022-01-09|1702.0|0|1708.0|0|43.0|0|0.0|100
0|2022-01-10|1770.0|0|1776.0|0|43.0|0|0.0|100
0|2022-01-11|1801.0|0|1807.0|0|43.0|0|0.0|100
0|2022-01-12|1813.0|0|1819.0|0|43.0|0|0.0|100
