|dates|Whitman_Washington_UnitedStates.BLS_EmployedPopulation.data|Whitman_Washington_UnitedStates.BLS_EmployedPopulation.missing|Whitman_Washington_UnitedStates.BLS_UnemployedPopulation.data|Whitman_Washington_UnitedStates.BLS_UnemployedPopulation.missing|Whitman_Washington_UnitedStates.BLS_UnemploymentRate.data|Whitman_Washington_UnitedStates.BLS_UnemploymentRate.missing|Whitman_Washington_UnitedStates.BLS_LaborForcePopulation.data|Whitman_Washington_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-10-18|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-10-19|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-10-20|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-10-21|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-10-22|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-10-23|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-10-24|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-10-25|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-10-26|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-10-27|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-10-28|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-10-29|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-10-30|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-10-31|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-11-01|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-11-02|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-11-03|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-11-04|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-11-05|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-11-06|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
0|2021-11-07|21870.0|0|965.0|0|4.225968907379023|0|22835.0|0
