|dates|BlackHawk_Iowa_UnitedStates.JHU_ConfirmedCases.data|BlackHawk_Iowa_UnitedStates.JHU_ConfirmedCases.missing|BlackHawk_Iowa_UnitedStates.NYT_ConfirmedCases.data|BlackHawk_Iowa_UnitedStates.NYT_ConfirmedCases.missing|BlackHawk_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|BlackHawk_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|BlackHawk_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|BlackHawk_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|20130.0|0|20150.0|0|355.0|0|0.0|100
0|2021-10-18|20130.0|0|20150.0|0|355.0|0|0.0|100
0|2021-10-19|20130.0|0|20150.0|0|355.0|0|0.0|100
0|2021-10-20|20335.0|0|20341.0|0|358.0|0|0.0|100
0|2021-10-21|20335.0|0|20341.0|0|358.0|0|0.0|100
0|2021-10-22|20335.0|0|20341.0|0|358.0|0|0.0|100
0|2021-10-23|20335.0|0|20341.0|0|358.0|0|0.0|100
0|2021-10-24|20335.0|0|20341.0|0|358.0|0|0.0|100
0|2021-10-25|20335.0|0|20341.0|0|358.0|0|0.0|100
0|2021-10-26|20335.0|0|20341.0|0|358.0|0|0.0|100
0|2021-10-27|20474.0|0|20481.0|0|363.0|0|0.0|100
0|2021-10-28|20474.0|0|20481.0|0|363.0|0|0.0|100
0|2021-10-29|20474.0|0|20481.0|0|363.0|0|0.0|100
0|2021-10-30|20474.0|0|20481.0|0|363.0|0|0.0|100
0|2021-10-31|20474.0|0|20481.0|0|363.0|0|0.0|100
0|2021-11-01|20474.0|0|20481.0|0|363.0|0|0.0|100
0|2021-11-02|20474.0|0|20481.0|0|363.0|0|0.0|100
0|2021-11-03|20978.0|0|20992.0|0|364.0|0|0.0|100
0|2021-11-04|20978.0|0|20992.0|0|364.0|0|0.0|100
0|2021-11-05|20978.0|0|20992.0|0|364.0|0|0.0|100
0|2021-11-06|20978.0|0|20992.0|0|364.0|0|0.0|100
