|dates|Clay_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Clay_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Clay_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Clay_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Clay_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Clay_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Clay_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Clay_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1634.0|0|1634.0|0|35.0|0|0.0|100
0|2021-10-18|1642.0|0|1642.0|0|35.0|0|0.0|100
0|2021-10-19|1642.0|0|1642.0|0|35.0|0|0.0|100
0|2021-10-20|1646.0|0|1646.0|0|35.0|0|0.0|100
0|2021-10-21|1646.0|0|1646.0|0|35.0|0|0.0|100
0|2021-10-22|1647.0|0|1647.0|0|36.0|0|0.0|100
0|2021-10-23|1647.0|0|1647.0|0|36.0|0|0.0|100
0|2021-10-24|1647.0|0|1647.0|0|36.0|0|0.0|100
0|2021-10-25|1650.0|0|1650.0|0|36.0|0|0.0|100
0|2021-10-26|1650.0|0|1650.0|0|36.0|0|0.0|100
0|2021-10-27|1653.0|0|1653.0|0|36.0|0|0.0|100
0|2021-10-28|1654.0|0|1654.0|0|36.0|0|0.0|100
0|2021-10-29|1656.0|0|1656.0|0|36.0|0|0.0|100
0|2021-10-30|1656.0|0|1656.0|0|36.0|0|0.0|100
0|2021-10-31|1656.0|0|1656.0|0|36.0|0|0.0|100
0|2021-11-01|1660.0|0|1660.0|0|36.0|0|0.0|100
0|2021-11-02|1660.0|0|1660.0|0|36.0|0|0.0|100
0|2021-11-03|1660.0|0|1660.0|0|36.0|0|0.0|100
0|2021-11-04|1659.0|0|1659.0|0|36.0|0|0.0|100
0|2021-11-05|1661.0|0|1661.0|0|36.0|0|0.0|100
0|2021-11-06|1661.0|0|1661.0|0|36.0|0|0.0|100
0|2021-11-07|1661.0|0|1661.0|0|36.0|0|0.0|100
0|2021-11-08|1665.0|0|1665.0|0|36.0|0|0.0|100
0|2021-11-09|1665.0|0|1665.0|0|36.0|0|0.0|100
0|2021-11-10|1670.0|0|1670.0|0|36.0|0|0.0|100
0|2021-11-11|1670.0|0|1670.0|0|36.0|0|0.0|100
0|2021-11-12|1680.0|0|1680.0|0|36.0|0|0.0|100
0|2021-11-13|1680.0|0|1680.0|0|36.0|0|0.0|100
0|2021-11-14|1680.0|0|1680.0|0|36.0|0|0.0|100
0|2021-11-15|1683.0|0|1683.0|0|36.0|0|0.0|100
0|2021-11-16|1684.0|0|1684.0|0|36.0|0|0.0|100
0|2021-11-17|1695.0|0|1695.0|0|38.0|0|0.0|100
0|2021-11-18|1695.0|0|1695.0|0|38.0|0|0.0|100
0|2021-11-19|1695.0|0|1695.0|0|38.0|0|0.0|100
0|2021-11-20|1695.0|0|1695.0|0|38.0|0|0.0|100
0|2021-11-21|1695.0|0|1695.0|0|38.0|0|0.0|100
