|dates|Jones_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Jones_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Jones_SouthDakota_UnitedStates.Male_Total_Population.data|Jones_SouthDakota_UnitedStates.Male_Total_Population.missing|Jones_SouthDakota_UnitedStates.Female_Total_Population.data|Jones_SouthDakota_UnitedStates.Female_Total_Population.missing|Jones_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Jones_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-10-18|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-10-19|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-10-20|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-10-21|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-10-22|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-10-23|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-10-24|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-10-25|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-10-26|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-10-27|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-10-28|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-10-29|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-10-30|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-10-31|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-01|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-02|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-03|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-04|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-05|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-06|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-07|216.0|0|458.0|0|470.0|0|206.0|0
