|dates|Stark_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Stark_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Stark_Ohio_UnitedStates.Male_Total_Population.data|Stark_Ohio_UnitedStates.Male_Total_Population.missing|Stark_Ohio_UnitedStates.Female_Total_Population.data|Stark_Ohio_UnitedStates.Female_Total_Population.missing|Stark_Ohio_UnitedStates.MaleAndFemale_Under18_Population.data|Stark_Ohio_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-10-18|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-10-19|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-10-20|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-10-21|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-10-22|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-10-23|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-10-24|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-10-25|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-10-26|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-10-27|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-10-28|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-10-29|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-10-30|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-10-31|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-01|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-02|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-03|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-04|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-05|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-06|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-07|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-08|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-09|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-10|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-11|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-12|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-13|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-14|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-15|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-16|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-17|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-18|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-19|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-20|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-21|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-22|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-23|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-24|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-25|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-26|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-27|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-28|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-29|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-11-30|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-01|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-02|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-03|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-04|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-05|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-06|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-07|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-08|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-09|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-10|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-11|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-12|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-13|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-14|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-15|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-16|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-17|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-18|72293.0|0|180539.0|0|191035.0|0|79684.0|0
0|2021-12-19|72293.0|0|180539.0|0|191035.0|0|79684.0|0
