|dates|Cheyenne_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Cheyenne_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Cheyenne_Kansas_UnitedStates.Male_Total_Population.data|Cheyenne_Kansas_UnitedStates.Male_Total_Population.missing|Cheyenne_Kansas_UnitedStates.Female_Total_Population.data|Cheyenne_Kansas_UnitedStates.Female_Total_Population.missing|Cheyenne_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Cheyenne_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-10-18|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-10-19|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-10-20|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-10-21|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-10-22|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-10-23|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-10-24|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-10-25|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-10-26|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-10-27|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-10-28|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-10-29|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-10-30|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-10-31|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-01|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-02|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-03|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-04|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-05|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-06|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-07|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-08|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-09|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-10|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-11|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-12|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-13|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-14|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-15|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-16|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-17|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-18|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-19|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-20|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-21|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-22|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-23|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-24|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-25|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-26|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-27|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-28|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-29|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-11-30|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-01|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-02|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-03|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-04|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-05|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-06|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-07|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-08|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-09|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-10|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-11|717.0|0|1348.0|0|1312.0|0|567.0|0
