|dates|Toole_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Toole_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Toole_Montana_UnitedStates.Male_Total_Population.data|Toole_Montana_UnitedStates.Male_Total_Population.missing|Toole_Montana_UnitedStates.Female_Total_Population.data|Toole_Montana_UnitedStates.Female_Total_Population.missing|Toole_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Toole_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-10-18|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-10-19|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-10-20|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-10-21|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-10-22|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-10-23|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-10-24|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-10-25|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-10-26|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-10-27|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-10-28|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-10-29|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-10-30|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-10-31|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-01|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-02|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-03|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-04|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-05|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-06|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-07|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-08|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-09|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-10|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-11|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-12|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-13|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-14|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-15|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-16|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-17|896.0|0|2711.0|0|2142.0|0|1000.0|0
