|dates|Valdez-Cordova_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Valdez-Cordova_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Valdez-Cordova_Alaska_UnitedStates.Male_Total_Population.data|Valdez-Cordova_Alaska_UnitedStates.Male_Total_Population.missing|Valdez-Cordova_Alaska_UnitedStates.Female_Total_Population.data|Valdez-Cordova_Alaska_UnitedStates.Female_Total_Population.missing|Valdez-Cordova_Alaska_UnitedStates.MaleAndFemale_Under18_Population.data|Valdez-Cordova_Alaska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-10-18|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-10-19|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-10-20|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-10-21|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-10-22|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-10-23|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-10-24|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-10-25|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-10-26|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-10-27|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-10-28|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-10-29|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-10-30|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-10-31|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-01|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-02|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-03|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-04|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-05|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-06|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-07|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-08|1256.0|0|4803.0|0|4361.0|0|2146.0|0
