|dates|Graham_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Graham_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Graham_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Graham_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Graham_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Graham_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Graham_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Graham_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1311.0|0|1311.0|0|27.0|0|0.0|100
0|2021-10-18|1317.0|0|1317.0|0|28.0|0|0.0|100
0|2021-10-19|1320.0|0|1320.0|0|28.0|0|0.0|100
0|2021-10-20|1321.0|0|1321.0|0|28.0|0|0.0|100
0|2021-10-21|1323.0|0|1323.0|0|28.0|0|0.0|100
0|2021-10-22|1324.0|0|1324.0|0|28.0|0|0.0|100
0|2021-10-23|1324.0|0|1324.0|0|28.0|0|0.0|100
0|2021-10-24|1324.0|0|1324.0|0|28.0|0|0.0|100
0|2021-10-25|1325.0|0|1325.0|0|28.0|0|0.0|100
0|2021-10-26|1328.0|0|1328.0|0|28.0|0|0.0|100
0|2021-10-27|1329.0|0|1329.0|0|28.0|0|0.0|100
0|2021-10-28|1330.0|0|1330.0|0|28.0|0|0.0|100
0|2021-10-29|1330.0|0|1330.0|0|28.0|0|0.0|100
0|2021-10-30|1330.0|0|1330.0|0|28.0|0|0.0|100
0|2021-10-31|1330.0|0|1330.0|0|28.0|0|0.0|100
0|2021-11-01|1332.0|0|1332.0|0|28.0|0|0.0|100
0|2021-11-02|1333.0|0|1333.0|0|28.0|0|0.0|100
0|2021-11-03|1333.0|0|1333.0|0|28.0|0|0.0|100
0|2021-11-04|1333.0|0|1333.0|0|28.0|0|0.0|100
0|2021-11-05|1334.0|0|1334.0|0|28.0|0|0.0|100
0|2021-11-06|1334.0|0|1334.0|0|28.0|0|0.0|100
0|2021-11-07|1334.0|0|1334.0|0|28.0|0|0.0|100
0|2021-11-08|1335.0|0|1335.0|0|28.0|0|0.0|100
