|dates|Rush_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Rush_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Rush_Kansas_UnitedStates.Male_Total_Population.data|Rush_Kansas_UnitedStates.Male_Total_Population.missing|Rush_Kansas_UnitedStates.Female_Total_Population.data|Rush_Kansas_UnitedStates.Female_Total_Population.missing|Rush_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Rush_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-10-18|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-10-19|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-10-20|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-10-21|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-10-22|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-10-23|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-10-24|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-10-25|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-10-26|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-10-27|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-10-28|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-10-29|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-10-30|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-10-31|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-01|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-02|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-03|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-04|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-05|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-06|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-07|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-08|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-09|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-10|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-11|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-12|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-13|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-14|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-15|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-16|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-17|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-18|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-19|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-20|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-21|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-22|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-23|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-24|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-25|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-26|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-27|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-28|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-29|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-11-30|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-01|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-02|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-03|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-04|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-05|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-06|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-07|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-08|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-09|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-10|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-11|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-12|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-13|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-14|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-15|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-16|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-17|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-18|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-19|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-20|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-21|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-22|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-23|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-24|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-25|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-26|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-27|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-28|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-29|768.0|0|1588.0|0|1505.0|0|646.0|0
0|2021-12-30|768.0|0|1588.0|0|1505.0|0|646.0|0
