|dates|Travis_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Travis_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Travis_Texas_UnitedStates.NYT_ConfirmedDeaths.data|Travis_Texas_UnitedStates.NYT_ConfirmedDeaths.missing|Travis_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Travis_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Travis_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Travis_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|1391.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|1394.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|1397.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|1404.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|1409.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|1411.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|1413.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|1413.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|1415.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|1419.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|1426.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|1429.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|1431.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|1431.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|1433.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|1434.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|1436.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|1438.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|1439.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|1442.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|1445.0|0|0.0|100|0.0|100
