|dates|Logan_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Logan_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Logan_Nebraska_UnitedStates.Male_Total_Population.data|Logan_Nebraska_UnitedStates.Male_Total_Population.missing|Logan_Nebraska_UnitedStates.Female_Total_Population.data|Logan_Nebraska_UnitedStates.Female_Total_Population.missing|Logan_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Logan_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-10-18|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-10-19|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-10-20|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-10-21|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-10-22|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-10-23|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-10-24|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-10-25|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-10-26|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-10-27|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-10-28|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-10-29|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-10-30|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-10-31|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-01|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-02|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-03|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-04|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-05|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-06|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-07|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-08|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-09|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-10|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-11|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-12|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-13|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-14|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-15|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-16|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-17|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-18|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-19|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-20|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-21|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-22|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-23|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-24|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-25|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-26|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-27|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-28|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-29|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-11-30|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-01|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-02|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-03|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-04|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-05|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-06|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-07|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-08|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-09|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-10|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-11|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-12|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-13|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-14|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-15|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-16|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-17|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-18|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-19|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-20|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-21|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-22|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-23|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-24|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-25|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-26|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-27|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-28|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-29|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-30|169.0|0|396.0|0|353.0|0|194.0|0
0|2021-12-31|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-01|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-02|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-03|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-04|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-05|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-06|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-07|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-08|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-09|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-10|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-11|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-12|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-13|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-14|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-15|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-16|169.0|0|396.0|0|353.0|0|194.0|0
0|2022-01-17|169.0|0|396.0|0|353.0|0|194.0|0
