|dates|Slope_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Slope_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Slope_NorthDakota_UnitedStates.Male_Total_Population.data|Slope_NorthDakota_UnitedStates.Male_Total_Population.missing|Slope_NorthDakota_UnitedStates.Female_Total_Population.data|Slope_NorthDakota_UnitedStates.Female_Total_Population.missing|Slope_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Slope_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-10-18|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-10-19|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-10-20|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-10-21|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-10-22|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-10-23|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-10-24|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-10-25|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-10-26|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-10-27|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-10-28|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-10-29|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-10-30|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-10-31|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-01|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-02|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-03|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-04|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-05|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-06|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-07|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-08|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-09|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-10|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-11|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-12|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-13|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-14|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-15|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-16|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-17|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-18|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-19|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-20|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-21|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-22|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-23|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-24|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-25|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-26|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-27|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-28|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-29|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-11-30|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-01|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-02|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-03|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-04|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-05|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-06|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-07|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-08|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-09|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-10|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-11|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-12|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-13|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-14|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-15|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-16|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-17|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-18|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-19|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-20|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-21|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-22|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-23|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-24|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-25|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-26|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-27|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-28|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-29|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-30|175.0|0|399.0|0|364.0|0|155.0|0
0|2021-12-31|175.0|0|399.0|0|364.0|0|155.0|0
0|2022-01-01|175.0|0|399.0|0|364.0|0|155.0|0
0|2022-01-02|175.0|0|399.0|0|364.0|0|155.0|0
0|2022-01-03|175.0|0|399.0|0|364.0|0|155.0|0
0|2022-01-04|175.0|0|399.0|0|364.0|0|155.0|0
