|dates|Delaware_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Delaware_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Delaware_Oklahoma_UnitedStates.NYT_ConfirmedCases.data|Delaware_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing|Delaware_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Delaware_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Delaware_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Delaware_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7180.0|0|7180.0|0|139.0|0|0.0|100
0|2021-10-18|7180.0|0|7180.0|0|139.0|0|0.0|100
0|2021-10-19|7180.0|0|7180.0|0|139.0|0|0.0|100
0|2021-10-20|7274.0|0|7274.0|0|159.0|0|0.0|100
0|2021-10-21|7274.0|0|7274.0|0|159.0|0|0.0|100
0|2021-10-22|7274.0|0|7274.0|0|159.0|0|0.0|100
0|2021-10-23|7274.0|0|7274.0|0|159.0|0|0.0|100
0|2021-10-24|7274.0|0|7274.0|0|159.0|0|0.0|100
0|2021-10-25|7274.0|0|7274.0|0|159.0|0|0.0|100
0|2021-10-26|7274.0|0|7274.0|0|159.0|0|0.0|100
0|2021-10-27|7327.0|0|7327.0|0|160.0|0|0.0|100
0|2021-10-28|7327.0|0|7327.0|0|160.0|0|0.0|100
0|2021-10-29|7327.0|0|7327.0|0|160.0|0|0.0|100
0|2021-10-30|7327.0|0|7327.0|0|160.0|0|0.0|100
0|2021-10-31|7327.0|0|7327.0|0|160.0|0|0.0|100
0|2021-11-01|7327.0|0|7327.0|0|160.0|0|0.0|100
0|2021-11-02|7327.0|0|7327.0|0|160.0|0|0.0|100
0|2021-11-03|7368.0|0|7368.0|0|161.0|0|0.0|100
0|2021-11-04|7368.0|0|7368.0|0|161.0|0|0.0|100
0|2021-11-05|7368.0|0|7368.0|0|161.0|0|0.0|100
0|2021-11-06|7368.0|0|7368.0|0|161.0|0|0.0|100
0|2021-11-07|7368.0|0|7368.0|0|161.0|0|0.0|100
0|2021-11-08|7368.0|0|7368.0|0|161.0|0|0.0|100
