|dates|SanLuisObispo_California_UnitedStates.JHU_ConfirmedCases.data|SanLuisObispo_California_UnitedStates.JHU_ConfirmedCases.missing|SanLuisObispo_California_UnitedStates.NYT_ConfirmedCases.data|SanLuisObispo_California_UnitedStates.NYT_ConfirmedCases.missing|SanLuisObispo_California_UnitedStates.JHU_ConfirmedDeaths.data|SanLuisObispo_California_UnitedStates.JHU_ConfirmedDeaths.missing|SanLuisObispo_California_UnitedStates.JHU_ConfirmedRecoveries.data|SanLuisObispo_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|29816.0|0|29653.0|0|331.0|0|0.0|100
0|2021-10-18|29864.0|0|29797.0|0|331.0|0|0.0|100
0|2021-10-19|29893.0|0|29837.0|0|331.0|0|0.0|100
0|2021-10-20|29951.0|0|29863.0|0|332.0|0|0.0|100
0|2021-10-21|29984.0|0|29945.0|0|332.0|0|0.0|100
0|2021-10-22|29986.0|0|29973.0|0|333.0|0|0.0|100
0|2021-10-23|29986.0|0|29973.0|0|333.0|0|0.0|100
0|2021-10-24|29988.0|0|29973.0|0|333.0|0|0.0|100
0|2021-10-25|30146.0|0|29973.0|0|333.0|0|0.0|100
0|2021-10-26|30171.0|0|30125.0|0|336.0|0|0.0|100
0|2021-10-27|30252.0|0|30146.0|0|337.0|0|0.0|100
0|2021-10-28|30307.0|0|30240.0|0|341.0|0|0.0|100
0|2021-10-29|30310.0|0|30291.0|0|341.0|0|0.0|100
0|2021-10-30|30311.0|0|30291.0|0|341.0|0|0.0|100
0|2021-10-31|30434.0|0|30291.0|0|341.0|0|0.0|100
0|2021-11-01|30462.0|0|30414.0|0|343.0|0|0.0|100
0|2021-11-02|30488.0|0|30437.0|0|343.0|0|0.0|100
0|2021-11-03|30540.0|0|30462.0|0|348.0|0|0.0|100
0|2021-11-04|30599.0|0|30540.0|0|348.0|0|0.0|100
0|2021-11-05|30599.0|0|30599.0|0|350.0|0|0.0|100
0|2021-11-06|30599.0|0|30599.0|0|350.0|0|0.0|100
0|2021-11-07|30599.0|0|30599.0|0|350.0|0|0.0|100
0|2021-11-08|30718.0|0|30718.0|0|350.0|0|0.0|100
0|2021-11-09|30728.0|0|30728.0|0|350.0|0|0.0|100
0|2021-11-10|30728.0|0|30752.0|0|350.0|0|0.0|100
0|2021-11-11|30821.0|0|30821.0|0|351.0|0|0.0|100
0|2021-11-12|30821.0|0|30821.0|0|351.0|0|0.0|100
0|2021-11-13|30878.0|0|30878.0|0|351.0|0|0.0|100
0|2021-11-14|30878.0|0|30878.0|0|351.0|0|0.0|100
0|2021-11-15|30934.0|0|30934.0|0|352.0|0|0.0|100
0|2021-11-16|30958.0|0|30958.0|0|351.0|0|0.0|100
0|2021-11-17|30992.0|0|30992.0|0|356.0|0|0.0|100
0|2021-11-18|31042.0|0|31042.0|0|354.0|0|0.0|100
0|2021-11-19|31126.0|0|31126.0|0|355.0|0|0.0|100
0|2021-11-20|31126.0|0|31126.0|0|355.0|0|0.0|100
0|2021-11-21|31126.0|0|31126.0|0|355.0|0|0.0|100
0|2021-11-22|31259.0|0|31259.0|0|358.0|0|0.0|100
0|2021-11-23|31274.0|0|31274.0|0|358.0|0|0.0|100
0|2021-11-24|31294.0|0|31294.0|0|358.0|0|0.0|100
0|2021-11-25|31294.0|0|31294.0|0|358.0|0|0.0|100
0|2021-11-26|31294.0|0|31294.0|0|358.0|0|0.0|100
0|2021-11-27|31294.0|0|31294.0|0|358.0|0|0.0|100
0|2021-11-28|31294.0|0|31294.0|0|358.0|0|0.0|100
0|2021-11-29|31463.0|0|31463.0|0|358.0|0|0.0|100
0|2021-11-30|31476.0|0|31476.0|0|359.0|0|0.0|100
0|2021-12-01|31476.0|0|31511.0|0|359.0|0|0.0|100
