|dates|Stanley_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Stanley_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Stanley_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Stanley_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Stanley_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Stanley_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Stanley_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Stanley_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-10-18|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-10-19|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-10-20|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-10-21|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-10-22|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-10-23|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-10-24|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-10-25|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-10-26|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-10-27|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-10-28|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-10-29|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-10-30|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-10-31|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-11-01|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-11-02|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-11-03|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-11-04|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-11-05|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
0|2021-11-06|1884.0|0|52.0|0|2.6859504132231407|0|1936.0|0
