|dates|Lemhi_Idaho_UnitedStates.JHU_ConfirmedCases.data|Lemhi_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Lemhi_Idaho_UnitedStates.NYT_ConfirmedCases.data|Lemhi_Idaho_UnitedStates.NYT_ConfirmedCases.missing|Lemhi_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Lemhi_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Lemhi_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Lemhi_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|788.0|0|788.0|0|16.0|0|0.0|100
0|2021-10-18|800.0|0|800.0|0|16.0|0|0.0|100
0|2021-10-19|806.0|0|806.0|0|16.0|0|0.0|100
0|2021-10-20|810.0|0|810.0|0|16.0|0|0.0|100
0|2021-10-21|813.0|0|813.0|0|17.0|0|0.0|100
0|2021-10-22|815.0|0|815.0|0|17.0|0|0.0|100
0|2021-10-23|815.0|0|815.0|0|17.0|0|0.0|100
0|2021-10-24|815.0|0|815.0|0|17.0|0|0.0|100
0|2021-10-25|822.0|0|822.0|0|18.0|0|0.0|100
0|2021-10-26|830.0|0|830.0|0|18.0|0|0.0|100
0|2021-10-27|834.0|0|834.0|0|18.0|0|0.0|100
0|2021-10-28|843.0|0|843.0|0|18.0|0|0.0|100
0|2021-10-29|845.0|0|845.0|0|18.0|0|0.0|100
0|2021-10-30|845.0|0|845.0|0|18.0|0|0.0|100
0|2021-10-31|845.0|0|845.0|0|18.0|0|0.0|100
0|2021-11-01|852.0|0|852.0|0|18.0|0|0.0|100
0|2021-11-02|858.0|0|858.0|0|18.0|0|0.0|100
0|2021-11-03|861.0|0|861.0|0|18.0|0|0.0|100
0|2021-11-04|863.0|0|863.0|0|18.0|0|0.0|100
0|2021-11-05|865.0|0|865.0|0|19.0|0|0.0|100
0|2021-11-06|865.0|0|865.0|0|19.0|0|0.0|100
0|2021-11-07|865.0|0|865.0|0|19.0|0|0.0|100
0|2021-11-08|869.0|0|869.0|0|19.0|0|0.0|100
0|2021-11-09|882.0|0|882.0|0|19.0|0|0.0|100
0|2021-11-10|882.0|0|883.0|0|19.0|0|0.0|100
0|2021-11-11|883.0|0|883.0|0|19.0|0|0.0|100
0|2021-11-12|894.0|0|883.0|0|19.0|0|0.0|100
0|2021-11-13|894.0|0|894.0|0|19.0|0|0.0|100
0|2021-11-14|894.0|0|894.0|0|19.0|0|0.0|100
0|2021-11-15|905.0|0|905.0|0|19.0|0|0.0|100
0|2021-11-16|910.0|0|910.0|0|20.0|0|0.0|100
0|2021-11-17|913.0|0|913.0|0|20.0|0|0.0|100
0|2021-11-18|917.0|0|917.0|0|20.0|0|0.0|100
0|2021-11-19|923.0|0|917.0|0|20.0|0|0.0|100
0|2021-11-20|927.0|0|927.0|0|20.0|0|0.0|100
0|2021-11-21|927.0|0|927.0|0|20.0|0|0.0|100
0|2021-11-22|930.0|0|930.0|0|20.0|0|0.0|100
0|2021-11-23|933.0|0|933.0|0|20.0|0|0.0|100
0|2021-11-24|937.0|0|937.0|0|20.0|0|0.0|100
0|2021-11-25|937.0|0|937.0|0|20.0|0|0.0|100
0|2021-11-26|939.0|0|939.0|0|20.0|0|0.0|100
0|2021-11-27|941.0|0|941.0|0|20.0|0|0.0|100
0|2021-11-28|941.0|0|941.0|0|20.0|0|0.0|100
0|2021-11-29|948.0|0|948.0|0|20.0|0|0.0|100
0|2021-11-30|953.0|0|953.0|0|20.0|0|0.0|100
0|2021-12-01|958.0|0|958.0|0|20.0|0|0.0|100
0|2021-12-02|958.0|0|960.0|0|20.0|0|0.0|100
0|2021-12-03|968.0|0|960.0|0|21.0|0|0.0|100
0|2021-12-04|968.0|0|968.0|0|21.0|0|0.0|100
0|2021-12-05|968.0|0|968.0|0|21.0|0|0.0|100
0|2021-12-06|977.0|0|977.0|0|21.0|0|0.0|100
0|2021-12-07|978.0|0|978.0|0|21.0|0|0.0|100
0|2021-12-08|981.0|0|981.0|0|21.0|0|0.0|100
0|2021-12-09|982.0|0|982.0|0|21.0|0|0.0|100
0|2021-12-10|983.0|0|983.0|0|21.0|0|0.0|100
0|2021-12-11|983.0|0|983.0|0|21.0|0|0.0|100
0|2021-12-12|983.0|0|983.0|0|21.0|0|0.0|100
0|2021-12-13|987.0|0|987.0|0|21.0|0|0.0|100
0|2021-12-14|987.0|0|990.0|0|21.0|0|0.0|100
0|2021-12-15|992.0|0|992.0|0|21.0|0|0.0|100
0|2021-12-16|995.0|0|995.0|0|21.0|0|0.0|100
0|2021-12-17|995.0|0|995.0|0|21.0|0|0.0|100
0|2021-12-18|996.0|0|996.0|0|21.0|0|0.0|100
0|2021-12-19|996.0|0|996.0|0|21.0|0|0.0|100
0|2021-12-20|1000.0|0|1000.0|0|21.0|0|0.0|100
0|2021-12-21|1004.0|0|1004.0|0|21.0|0|0.0|100
0|2021-12-22|1006.0|0|1006.0|0|21.0|0|0.0|100
0|2021-12-23|1008.0|0|1008.0|0|23.0|0|0.0|100
0|2021-12-24|1008.0|0|1008.0|0|23.0|0|0.0|100
0|2021-12-25|1008.0|0|1008.0|0|23.0|0|0.0|100
0|2021-12-26|1008.0|0|1008.0|0|23.0|0|0.0|100
0|2021-12-27|1011.0|0|1011.0|0|23.0|0|0.0|100
