|dates|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Jasper_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Jasper_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-27|4056.0|0|4056.0|0|82.0|0|0.0|100
0|2021-12-28|4056.0|0|4056.0|0|82.0|0|0.0|100
0|2021-12-29|4087.0|0|4087.0|0|82.0|0|0.0|100
0|2021-12-30|4098.0|0|4098.0|0|82.0|0|0.0|100
0|2021-12-31|4135.0|0|4135.0|0|82.0|0|0.0|100
0|2022-01-01|4135.0|0|4135.0|0|82.0|0|0.0|100
0|2022-01-02|4135.0|0|4135.0|0|82.0|0|0.0|100
0|2022-01-03|4135.0|0|4135.0|0|82.0|0|0.0|100
0|2022-01-04|4259.0|0|4259.0|0|82.0|0|0.0|100
0|2022-01-05|4275.0|0|4275.0|0|82.0|0|0.0|100
0|2022-01-06|4322.0|0|4322.0|0|82.0|0|0.0|100
0|2022-01-07|4347.0|0|4347.0|0|82.0|0|0.0|100
0|2022-01-08|4347.0|0|4347.0|0|82.0|0|0.0|100
0|2022-01-09|4347.0|0|4347.0|0|82.0|0|0.0|100
0|2022-01-10|4532.0|0|4532.0|0|82.0|0|0.0|100
0|2022-01-11|4581.0|0|4581.0|0|82.0|0|0.0|100
0|2022-01-12|4623.0|0|4623.0|0|82.0|0|0.0|100
0|2022-01-13|4623.0|0|4670.0|0|82.0|0|0.0|100
0|2022-01-14|4746.0|0|4746.0|0|82.0|0|0.0|100
0|2022-01-15|4746.0|0|4746.0|0|82.0|0|0.0|100
0|2022-01-16|4746.0|0|4746.0|0|82.0|0|0.0|100
0|2022-01-17|4746.0|0|0.0|100|82.0|0|0.0|100
