|dates|SanBernardino_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|SanBernardino_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|SanBernardino_California_UnitedStates.Male_Total_Population.data|SanBernardino_California_UnitedStates.Male_Total_Population.missing|SanBernardino_California_UnitedStates.Female_Total_Population.data|SanBernardino_California_UnitedStates.Female_Total_Population.missing|SanBernardino_California_UnitedStates.MaleAndFemale_Under18_Population.data|SanBernardino_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-10-18|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-10-19|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-10-20|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-10-21|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-10-22|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-10-23|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-10-24|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-10-25|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-10-26|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-10-27|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-10-28|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-10-29|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-10-30|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-10-31|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-01|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-02|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-03|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-04|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-05|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-06|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-07|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-08|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-09|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-10|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-11|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-12|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-13|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-14|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-15|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-16|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-17|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-18|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-19|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-20|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-21|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-22|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-23|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-24|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-25|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-26|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-27|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-28|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-29|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-11-30|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-12-01|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-12-02|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-12-03|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-12-04|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
0|2021-12-05|251361.0|0|1080950.0|0|1090653.0|0|572278.0|0
