|dates|Stanislaus_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Stanislaus_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Stanislaus_California_UnitedStates.Male_Total_Population.data|Stanislaus_California_UnitedStates.Male_Total_Population.missing|Stanislaus_California_UnitedStates.Female_Total_Population.data|Stanislaus_California_UnitedStates.Female_Total_Population.missing|Stanislaus_California_UnitedStates.MaleAndFemale_Under18_Population.data|Stanislaus_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-10-18|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-10-19|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-10-20|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-10-21|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-10-22|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-10-23|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-10-24|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-10-25|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-10-26|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-10-27|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-10-28|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-10-29|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-10-30|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-10-31|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-01|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-02|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-03|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-04|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-05|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-06|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-07|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-08|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-09|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-10|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-11|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-12|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-13|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-14|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-15|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-16|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-17|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-18|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-19|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-20|72319.0|0|272316.0|0|277499.0|0|148801.0|0
0|2021-11-21|72319.0|0|272316.0|0|277499.0|0|148801.0|0
