|dates|Stutsman_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Stutsman_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Stutsman_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|Stutsman_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|Stutsman_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Stutsman_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Stutsman_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Stutsman_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4288.0|0|4288.0|0|85.0|0|0.0|100
0|2021-10-18|4291.0|0|4291.0|0|85.0|0|0.0|100
0|2021-10-19|4304.0|0|4304.0|0|85.0|0|0.0|100
0|2021-10-20|4321.0|0|4321.0|0|85.0|0|0.0|100
0|2021-10-21|4329.0|0|4329.0|0|86.0|0|0.0|100
0|2021-10-22|4347.0|0|4347.0|0|86.0|0|0.0|100
0|2021-10-23|4352.0|0|4352.0|0|86.0|0|0.0|100
0|2021-10-24|4354.0|0|4354.0|0|86.0|0|0.0|100
0|2021-10-25|4358.0|0|4358.0|0|86.0|0|0.0|100
0|2021-10-26|4378.0|0|4378.0|0|86.0|0|0.0|100
0|2021-10-27|4398.0|0|4398.0|0|86.0|0|0.0|100
0|2021-10-28|4417.0|0|4417.0|0|87.0|0|0.0|100
0|2021-10-29|4437.0|0|4437.0|0|87.0|0|0.0|100
0|2021-10-30|4446.0|0|4446.0|0|87.0|0|0.0|100
0|2021-10-31|4450.0|0|4450.0|0|87.0|0|0.0|100
0|2021-11-01|4450.0|0|4450.0|0|87.0|0|0.0|100
0|2021-11-02|4464.0|0|4464.0|0|87.0|0|0.0|100
0|2021-11-03|4488.0|0|4488.0|0|87.0|0|0.0|100
0|2021-11-04|4509.0|0|4509.0|0|88.0|0|0.0|100
0|2021-11-05|4526.0|0|4526.0|0|88.0|0|0.0|100
0|2021-11-06|4536.0|0|4536.0|0|88.0|0|0.0|100
0|2021-11-07|4539.0|0|4539.0|0|88.0|0|0.0|100
0|2021-11-08|4543.0|0|4543.0|0|88.0|0|0.0|100
0|2021-11-09|4569.0|0|4569.0|0|88.0|0|0.0|100
0|2021-11-10|4569.0|0|4587.0|0|88.0|0|0.0|100
0|2021-11-11|4603.0|0|4603.0|0|88.0|0|0.0|100
