|dates|Trigg_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Trigg_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Trigg_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Trigg_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Trigg_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Trigg_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Trigg_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Trigg_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1999.0|0|1999.0|0|21.0|0|0.0|100
0|2021-10-18|2011.0|0|2011.0|0|21.0|0|0.0|100
0|2021-10-19|2023.0|0|2023.0|0|21.0|0|0.0|100
0|2021-10-20|2030.0|0|2030.0|0|22.0|0|0.0|100
0|2021-10-21|2034.0|0|2034.0|0|22.0|0|0.0|100
0|2021-10-22|2049.0|0|2049.0|0|22.0|0|0.0|100
0|2021-10-23|2049.0|0|2049.0|0|22.0|0|0.0|100
0|2021-10-24|2049.0|0|2049.0|0|22.0|0|0.0|100
0|2021-10-25|2068.0|0|2068.0|0|22.0|0|0.0|100
0|2021-10-26|2074.0|0|2074.0|0|22.0|0|0.0|100
0|2021-10-27|2085.0|0|2085.0|0|22.0|0|0.0|100
0|2021-10-28|2095.0|0|2095.0|0|22.0|0|0.0|100
0|2021-10-29|2106.0|0|2106.0|0|22.0|0|0.0|100
0|2021-10-30|2106.0|0|2106.0|0|22.0|0|0.0|100
0|2021-10-31|2106.0|0|2106.0|0|22.0|0|0.0|100
0|2021-11-01|2149.0|0|2149.0|0|22.0|0|0.0|100
0|2021-11-02|2163.0|0|2163.0|0|22.0|0|0.0|100
0|2021-11-03|2178.0|0|2178.0|0|22.0|0|0.0|100
0|2021-11-04|2181.0|0|2181.0|0|23.0|0|0.0|100
0|2021-11-05|2186.0|0|2186.0|0|23.0|0|0.0|100
0|2021-11-06|2186.0|0|2186.0|0|23.0|0|0.0|100
0|2021-11-07|2186.0|0|2186.0|0|23.0|0|0.0|100
0|2021-11-08|2193.0|0|2193.0|0|23.0|0|0.0|100
0|2021-11-09|2197.0|0|2197.0|0|23.0|0|0.0|100
0|2021-11-10|2197.0|0|2213.0|0|23.0|0|0.0|100
0|2021-11-11|2213.0|0|2213.0|0|23.0|0|0.0|100
0|2021-11-12|2219.0|0|2219.0|0|23.0|0|0.0|100
0|2021-11-13|2219.0|0|2219.0|0|23.0|0|0.0|100
0|2021-11-14|2219.0|0|2219.0|0|23.0|0|0.0|100
0|2021-11-15|2231.0|0|2231.0|0|23.0|0|0.0|100
0|2021-11-16|2241.0|0|2241.0|0|23.0|0|0.0|100
0|2021-11-17|2246.0|0|2246.0|0|23.0|0|0.0|100
0|2021-11-18|2258.0|0|2258.0|0|23.0|0|0.0|100
0|2021-11-19|2266.0|0|2266.0|0|25.0|0|0.0|100
0|2021-11-20|2266.0|0|2266.0|0|25.0|0|0.0|100
0|2021-11-21|2266.0|0|2266.0|0|25.0|0|0.0|100
0|2021-11-22|2280.0|0|2280.0|0|25.0|0|0.0|100
