|dates|Franklin_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Franklin_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Franklin_Nebraska_UnitedStates.Male_Total_Population.data|Franklin_Nebraska_UnitedStates.Male_Total_Population.missing|Franklin_Nebraska_UnitedStates.Female_Total_Population.data|Franklin_Nebraska_UnitedStates.Female_Total_Population.missing|Franklin_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Franklin_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-10-18|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-10-19|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-10-20|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-10-21|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-10-22|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-10-23|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-10-24|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-10-25|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-10-26|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-10-27|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-10-28|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-10-29|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-10-30|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-10-31|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-01|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-02|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-03|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-04|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-05|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-06|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-07|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-08|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-09|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-10|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-11|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-12|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-13|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-14|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-15|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-16|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-17|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-18|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-19|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-20|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-21|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-22|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-23|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-24|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-25|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-26|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-27|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-28|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-29|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-11-30|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-12-01|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-12-02|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-12-03|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-12-04|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-12-05|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-12-06|853.0|0|1488.0|0|1535.0|0|586.0|0
0|2021-12-07|853.0|0|1488.0|0|1535.0|0|586.0|0
