|dates|Middlesex_Massachusetts_UnitedStates.BLS_EmployedPopulation.data|Middlesex_Massachusetts_UnitedStates.BLS_EmployedPopulation.missing|Middlesex_Massachusetts_UnitedStates.BLS_UnemployedPopulation.data|Middlesex_Massachusetts_UnitedStates.BLS_UnemployedPopulation.missing|Middlesex_Massachusetts_UnitedStates.BLS_UnemploymentRate.data|Middlesex_Massachusetts_UnitedStates.BLS_UnemploymentRate.missing|Middlesex_Massachusetts_UnitedStates.BLS_LaborForcePopulation.data|Middlesex_Massachusetts_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-10-18|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-10-19|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-10-20|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-10-21|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-10-22|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-10-23|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-10-24|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-10-25|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-10-26|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-10-27|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-10-28|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-10-29|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-10-30|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-10-31|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-11-01|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-11-02|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-11-03|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-11-04|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-11-05|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-11-06|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-11-07|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
0|2021-11-08|858397.0|0|44213.0|0|4.898350339570801|0|902610.0|0
