|dates|RedLake_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|RedLake_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|RedLake_Minnesota_UnitedStates.Male_Total_Population.data|RedLake_Minnesota_UnitedStates.Male_Total_Population.missing|RedLake_Minnesota_UnitedStates.Female_Total_Population.data|RedLake_Minnesota_UnitedStates.Female_Total_Population.missing|RedLake_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.data|RedLake_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-10-18|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-10-19|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-10-20|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-10-21|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-10-22|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-10-23|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-10-24|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-10-25|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-10-26|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-10-27|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-10-28|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-10-29|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-10-30|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-10-31|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-01|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-02|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-03|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-04|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-05|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-06|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-07|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-08|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-09|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-10|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-11|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-12|837.0|0|2042.0|0|1957.0|0|966.0|0
