|dates|Sheridan_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sheridan_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sheridan_Kansas_UnitedStates.Male_Total_Population.data|Sheridan_Kansas_UnitedStates.Male_Total_Population.missing|Sheridan_Kansas_UnitedStates.Female_Total_Population.data|Sheridan_Kansas_UnitedStates.Female_Total_Population.missing|Sheridan_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Sheridan_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-10-18|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-10-19|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-10-20|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-10-21|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-10-22|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-10-23|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-10-24|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-10-25|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-10-26|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-10-27|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-10-28|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-10-29|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-10-30|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-10-31|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-01|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-02|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-03|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-04|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-05|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-06|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-07|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-08|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-09|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-10|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-11|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-12|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-13|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-14|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-15|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-16|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-17|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-18|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-19|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-20|584.0|0|1274.0|0|1259.0|0|637.0|0
0|2021-11-21|584.0|0|1274.0|0|1259.0|0|637.0|0
