|dates|Honolulu_Hawaii_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Honolulu_Hawaii_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Honolulu_Hawaii_UnitedStates.Male_Total_Population.data|Honolulu_Hawaii_UnitedStates.Male_Total_Population.missing|Honolulu_Hawaii_UnitedStates.Female_Total_Population.data|Honolulu_Hawaii_UnitedStates.Female_Total_Population.missing|Honolulu_Hawaii_UnitedStates.MaleAndFemale_Under18_Population.data|Honolulu_Hawaii_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-10-18|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-10-19|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-10-20|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-10-21|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-10-22|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-10-23|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-10-24|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-10-25|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-10-26|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-10-27|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-10-28|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-10-29|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-10-30|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-10-31|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-01|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-02|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-03|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-04|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-05|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-06|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-07|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-08|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-09|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-10|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-11|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-12|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-13|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-14|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-15|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-16|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-17|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-18|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-19|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-20|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-21|173793.0|0|492574.0|0|487506.0|0|207765.0|0
0|2021-11-22|173793.0|0|492574.0|0|487506.0|0|207765.0|0
