|dates|Robertson_Texas_UnitedStates.JHU_ConfirmedCases.data|Robertson_Texas_UnitedStates.JHU_ConfirmedCases.missing|Robertson_Texas_UnitedStates.NYT_ConfirmedCases.data|Robertson_Texas_UnitedStates.NYT_ConfirmedCases.missing|Robertson_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Robertson_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Robertson_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Robertson_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2932.0|0|2932.0|0|62.0|0|0.0|100
0|2021-10-18|2933.0|0|2933.0|0|62.0|0|0.0|100
0|2021-10-19|2933.0|0|2933.0|0|62.0|0|0.0|100
0|2021-10-20|2936.0|0|2936.0|0|62.0|0|0.0|100
0|2021-10-21|2936.0|0|2936.0|0|62.0|0|0.0|100
0|2021-10-22|2937.0|0|2937.0|0|62.0|0|0.0|100
0|2021-10-23|2938.0|0|2938.0|0|63.0|0|0.0|100
0|2021-10-24|2938.0|0|2938.0|0|63.0|0|0.0|100
0|2021-10-25|2940.0|0|2940.0|0|63.0|0|0.0|100
0|2021-10-26|2942.0|0|2942.0|0|63.0|0|0.0|100
0|2021-10-27|2944.0|0|2944.0|0|64.0|0|0.0|100
0|2021-10-28|2944.0|0|2944.0|0|64.0|0|0.0|100
0|2021-10-29|2947.0|0|2947.0|0|64.0|0|0.0|100
0|2021-10-30|2950.0|0|2950.0|0|64.0|0|0.0|100
0|2021-10-31|2950.0|0|2950.0|0|64.0|0|0.0|100
0|2021-11-01|2951.0|0|2951.0|0|64.0|0|0.0|100
0|2021-11-02|2952.0|0|2952.0|0|64.0|0|0.0|100
0|2021-11-03|2954.0|0|2954.0|0|64.0|0|0.0|100
0|2021-11-04|2955.0|0|2955.0|0|64.0|0|0.0|100
0|2021-11-05|2955.0|0|2955.0|0|64.0|0|0.0|100
0|2021-11-06|2957.0|0|2957.0|0|64.0|0|0.0|100
0|2021-11-07|2957.0|0|2957.0|0|64.0|0|0.0|100
0|2021-11-08|2960.0|0|2960.0|0|64.0|0|0.0|100
0|2021-11-09|2960.0|0|2960.0|0|64.0|0|0.0|100
0|2021-11-10|2960.0|0|2960.0|0|64.0|0|0.0|100
0|2021-11-11|2960.0|0|2960.0|0|65.0|0|0.0|100
