|dates|Love_Oklahoma_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Love_Oklahoma_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Love_Oklahoma_UnitedStates.Male_Total_Population.data|Love_Oklahoma_UnitedStates.Male_Total_Population.missing|Love_Oklahoma_UnitedStates.Female_Total_Population.data|Love_Oklahoma_UnitedStates.Female_Total_Population.missing|Love_Oklahoma_UnitedStates.MaleAndFemale_Under18_Population.data|Love_Oklahoma_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-10-18|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-10-19|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-10-20|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-10-21|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-10-22|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-10-23|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-10-24|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-10-25|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-10-26|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-10-27|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-10-28|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-10-29|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-10-30|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-10-31|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-01|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-02|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-03|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-04|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-05|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-06|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-07|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-08|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-09|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-10|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-11|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-12|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-13|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-14|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-15|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-16|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-17|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-18|1935.0|0|5052.0|0|5082.0|0|2461.0|0
0|2021-11-19|1935.0|0|5052.0|0|5082.0|0|2461.0|0
