|dates|Waukesha_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Waukesha_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Waukesha_Wisconsin_UnitedStates.Male_Total_Population.data|Waukesha_Wisconsin_UnitedStates.Male_Total_Population.missing|Waukesha_Wisconsin_UnitedStates.Female_Total_Population.data|Waukesha_Wisconsin_UnitedStates.Female_Total_Population.missing|Waukesha_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.data|Waukesha_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-10-18|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-10-19|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-10-20|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-10-21|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-10-22|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-10-23|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-10-24|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-10-25|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-10-26|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-10-27|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-10-28|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-10-29|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-10-30|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-10-31|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-11-01|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-11-02|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-11-03|75190.0|0|198189.0|0|204883.0|0|86695.0|0
0|2021-11-04|75190.0|0|198189.0|0|204883.0|0|86695.0|0
