|dates|Scott_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Scott_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Scott_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Scott_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Scott_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Scott_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Scott_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Scott_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4709.0|0|4709.0|0|98.0|0|0.0|100
0|2021-10-18|4711.0|0|4711.0|0|98.0|0|0.0|100
0|2021-10-19|4718.0|0|4718.0|0|98.0|0|0.0|100
0|2021-10-20|4721.0|0|4721.0|0|98.0|0|0.0|100
0|2021-10-21|4726.0|0|4726.0|0|98.0|0|0.0|100
0|2021-10-22|4728.0|0|4728.0|0|98.0|0|0.0|100
0|2021-10-23|4728.0|0|4728.0|0|98.0|0|0.0|100
0|2021-10-24|4728.0|0|4728.0|0|98.0|0|0.0|100
0|2021-10-25|4730.0|0|4730.0|0|98.0|0|0.0|100
0|2021-10-26|4741.0|0|4741.0|0|98.0|0|0.0|100
0|2021-10-27|4740.0|0|4740.0|0|98.0|0|0.0|100
0|2021-10-28|4742.0|0|4742.0|0|98.0|0|0.0|100
0|2021-10-29|4743.0|0|4743.0|0|98.0|0|0.0|100
0|2021-10-30|4743.0|0|4743.0|0|98.0|0|0.0|100
0|2021-10-31|4743.0|0|4743.0|0|98.0|0|0.0|100
0|2021-11-01|4743.0|0|4743.0|0|98.0|0|0.0|100
0|2021-11-02|4746.0|0|4746.0|0|98.0|0|0.0|100
0|2021-11-03|4747.0|0|4747.0|0|98.0|0|0.0|100
0|2021-11-04|4747.0|0|4747.0|0|98.0|0|0.0|100
0|2021-11-05|4749.0|0|4749.0|0|98.0|0|0.0|100
0|2021-11-06|4749.0|0|4749.0|0|98.0|0|0.0|100
