|dates|Blaine_Idaho_UnitedStates.JHU_ConfirmedCases.data|Blaine_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Blaine_Idaho_UnitedStates.NYT_ConfirmedCases.data|Blaine_Idaho_UnitedStates.NYT_ConfirmedCases.missing|Blaine_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Blaine_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Blaine_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Blaine_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2952.0|0|2952.0|0|23.0|0|0.0|100
0|2021-10-18|2957.0|0|2957.0|0|23.0|0|0.0|100
0|2021-10-19|2972.0|0|2972.0|0|24.0|0|0.0|100
0|2021-10-20|2977.0|0|2977.0|0|24.0|0|0.0|100
0|2021-10-21|2983.0|0|2983.0|0|25.0|0|0.0|100
0|2021-10-22|2992.0|0|2992.0|0|26.0|0|0.0|100
0|2021-10-23|2999.0|0|2999.0|0|26.0|0|0.0|100
0|2021-10-24|2999.0|0|2999.0|0|26.0|0|0.0|100
0|2021-10-25|3002.0|0|3002.0|0|26.0|0|0.0|100
0|2021-10-26|3006.0|0|3006.0|0|26.0|0|0.0|100
0|2021-10-27|3017.0|0|3017.0|0|27.0|0|0.0|100
0|2021-10-28|3022.0|0|3022.0|0|27.0|0|0.0|100
0|2021-10-29|3028.0|0|3028.0|0|27.0|0|0.0|100
0|2021-10-30|3035.0|0|3035.0|0|27.0|0|0.0|100
0|2021-10-31|3035.0|0|3035.0|0|27.0|0|0.0|100
0|2021-11-01|3037.0|0|3037.0|0|27.0|0|0.0|100
0|2021-11-02|3055.0|0|3055.0|0|27.0|0|0.0|100
0|2021-11-03|3066.0|0|3066.0|0|27.0|0|0.0|100
0|2021-11-04|3070.0|0|3070.0|0|27.0|0|0.0|100
0|2021-11-05|3078.0|0|3078.0|0|27.0|0|0.0|100
0|2021-11-06|3082.0|0|3082.0|0|27.0|0|0.0|100
0|2021-11-07|3082.0|0|3082.0|0|27.0|0|0.0|100
0|2021-11-08|3093.0|0|3093.0|0|27.0|0|0.0|100
0|2021-11-09|3098.0|0|3098.0|0|27.0|0|0.0|100
0|2021-11-10|3098.0|0|3103.0|0|27.0|0|0.0|100
0|2021-11-11|3103.0|0|3103.0|0|27.0|0|0.0|100
0|2021-11-12|3108.0|0|3103.0|0|27.0|0|0.0|100
0|2021-11-13|3108.0|0|3108.0|0|27.0|0|0.0|100
0|2021-11-14|3108.0|0|3108.0|0|27.0|0|0.0|100
0|2021-11-15|3111.0|0|3111.0|0|27.0|0|0.0|100
0|2021-11-16|3119.0|0|3119.0|0|27.0|0|0.0|100
0|2021-11-17|3124.0|0|3124.0|0|27.0|0|0.0|100
0|2021-11-18|3127.0|0|3127.0|0|27.0|0|0.0|100
