|dates|Brown_Indiana_UnitedStates.JHU_ConfirmedCases.data|Brown_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Brown_Indiana_UnitedStates.NYT_ConfirmedCases.data|Brown_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Brown_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Brown_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Brown_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Brown_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1440.0|0|1441.0|0|47.0|0|0.0|100
0|2021-10-18|1445.0|0|1446.0|0|47.0|0|0.0|100
0|2021-10-19|1452.0|0|1453.0|0|47.0|0|0.0|100
0|2021-10-20|1457.0|0|1458.0|0|47.0|0|0.0|100
0|2021-10-21|1461.0|0|1462.0|0|47.0|0|0.0|100
0|2021-10-22|1467.0|0|1468.0|0|47.0|0|0.0|100
0|2021-10-23|1467.0|0|1468.0|0|47.0|0|0.0|100
0|2021-10-24|1467.0|0|1468.0|0|47.0|0|0.0|100
0|2021-10-25|1470.0|0|1471.0|0|47.0|0|0.0|100
0|2021-10-26|1475.0|0|1476.0|0|47.0|0|0.0|100
0|2021-10-27|1482.0|0|1483.0|0|47.0|0|0.0|100
0|2021-10-28|1487.0|0|1488.0|0|47.0|0|0.0|100
0|2021-10-29|1490.0|0|1491.0|0|47.0|0|0.0|100
0|2021-10-30|1490.0|0|1491.0|0|47.0|0|0.0|100
0|2021-10-31|1490.0|0|1491.0|0|47.0|0|0.0|100
0|2021-11-01|1503.0|0|1504.0|0|48.0|0|0.0|100
0|2021-11-02|1510.0|0|1511.0|0|49.0|0|0.0|100
0|2021-11-03|1513.0|0|1514.0|0|49.0|0|0.0|100
0|2021-11-04|1521.0|0|1522.0|0|49.0|0|0.0|100
0|2021-11-05|1531.0|0|1532.0|0|49.0|0|0.0|100
0|2021-11-06|1531.0|0|1532.0|0|49.0|0|0.0|100
0|2021-11-07|1531.0|0|1532.0|0|49.0|0|0.0|100
0|2021-11-08|1541.0|0|1542.0|0|49.0|0|0.0|100
0|2021-11-09|1564.0|0|1565.0|0|49.0|0|0.0|100
0|2021-11-10|1564.0|0|1580.0|0|49.0|0|0.0|100
0|2021-11-11|1594.0|0|1595.0|0|49.0|0|0.0|100
0|2021-11-12|1607.0|0|1608.0|0|49.0|0|0.0|100
0|2021-11-13|1607.0|0|1608.0|0|49.0|0|0.0|100
0|2021-11-14|1607.0|0|1608.0|0|49.0|0|0.0|100
0|2021-11-15|1629.0|0|1630.0|0|49.0|0|0.0|100
0|2021-11-16|1640.0|0|1641.0|0|49.0|0|0.0|100
0|2021-11-17|1654.0|0|1655.0|0|49.0|0|0.0|100
0|2021-11-18|1661.0|0|1662.0|0|49.0|0|0.0|100
0|2021-11-19|1663.0|0|1664.0|0|49.0|0|0.0|100
0|2021-11-20|1663.0|0|1664.0|0|49.0|0|0.0|100
