|dates|Roane_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Roane_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Roane_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Roane_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Roane_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Roane_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Roane_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Roane_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9828.0|0|9828.0|0|147.0|0|0.0|100
0|2021-10-18|9863.0|0|9863.0|0|148.0|0|0.0|100
0|2021-10-19|9878.0|0|9878.0|0|149.0|0|0.0|100
0|2021-10-20|9908.0|0|9908.0|0|149.0|0|0.0|100
0|2021-10-21|9926.0|0|9926.0|0|149.0|0|0.0|100
0|2021-10-22|9950.0|0|9950.0|0|150.0|0|0.0|100
0|2021-10-23|9950.0|0|9950.0|0|150.0|0|0.0|100
0|2021-10-24|9950.0|0|9950.0|0|150.0|0|0.0|100
0|2021-10-25|9950.0|0|9950.0|0|150.0|0|0.0|100
0|2021-10-26|9994.0|0|9994.0|0|150.0|0|0.0|100
0|2021-10-27|10004.0|0|10004.0|0|152.0|0|0.0|100
0|2021-10-28|10021.0|0|10021.0|0|153.0|0|0.0|100
0|2021-10-29|10026.0|0|10026.0|0|153.0|0|0.0|100
0|2021-10-30|10026.0|0|10026.0|0|153.0|0|0.0|100
0|2021-10-31|10026.0|0|10026.0|0|153.0|0|0.0|100
0|2021-11-01|10026.0|0|10026.0|0|153.0|0|0.0|100
0|2021-11-02|10060.0|0|10060.0|0|154.0|0|0.0|100
0|2021-11-03|10070.0|0|10070.0|0|154.0|0|0.0|100
0|2021-11-04|10086.0|0|10086.0|0|154.0|0|0.0|100
0|2021-11-05|10089.0|0|10089.0|0|154.0|0|0.0|100
0|2021-11-06|10089.0|0|10089.0|0|154.0|0|0.0|100
0|2021-11-07|10089.0|0|10089.0|0|154.0|0|0.0|100
0|2021-11-08|10089.0|0|10089.0|0|154.0|0|0.0|100
0|2021-11-09|10118.0|0|10118.0|0|154.0|0|0.0|100
0|2021-11-10|10141.0|0|10141.0|0|154.0|0|0.0|100
0|2021-11-11|10141.0|0|10141.0|0|154.0|0|0.0|100
0|2021-11-12|10161.0|0|10161.0|0|155.0|0|0.0|100
0|2021-11-13|10161.0|0|10161.0|0|155.0|0|0.0|100
0|2021-11-14|10161.0|0|10161.0|0|155.0|0|0.0|100
0|2021-11-15|10183.0|0|10183.0|0|155.0|0|0.0|100
0|2021-11-16|10196.0|0|10196.0|0|159.0|0|0.0|100
0|2021-11-17|10208.0|0|10208.0|0|159.0|0|0.0|100
0|2021-11-18|10230.0|0|10230.0|0|159.0|0|0.0|100
0|2021-11-19|10248.0|0|10248.0|0|159.0|0|0.0|100
0|2021-11-20|10248.0|0|10248.0|0|159.0|0|0.0|100
0|2021-11-21|10248.0|0|10248.0|0|159.0|0|0.0|100
0|2021-11-22|10263.0|0|10263.0|0|159.0|0|0.0|100
0|2021-11-23|10290.0|0|10290.0|0|159.0|0|0.0|100
0|2021-11-24|10295.0|0|10295.0|0|159.0|0|0.0|100
0|2021-11-25|10295.0|0|10295.0|0|159.0|0|0.0|100
0|2021-11-26|10295.0|0|10295.0|0|159.0|0|0.0|100
0|2021-11-27|10295.0|0|10295.0|0|159.0|0|0.0|100
0|2021-11-28|10295.0|0|10295.0|0|159.0|0|0.0|100
0|2021-11-29|10339.0|0|10339.0|0|160.0|0|0.0|100
0|2021-11-30|10357.0|0|10357.0|0|160.0|0|0.0|100
