|dates|Montgomery_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Montgomery_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Montgomery_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Montgomery_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Montgomery_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Montgomery_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Montgomery_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Montgomery_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|32477.0|0|32477.0|0|325.0|0|0.0|100
0|2021-10-18|32579.0|0|32579.0|0|325.0|0|0.0|100
0|2021-10-19|32612.0|0|32612.0|0|327.0|0|0.0|100
0|2021-10-20|32644.0|0|32644.0|0|328.0|0|0.0|100
0|2021-10-21|32690.0|0|32690.0|0|328.0|0|0.0|100
0|2021-10-22|32715.0|0|32715.0|0|330.0|0|0.0|100
0|2021-10-23|32715.0|0|32715.0|0|330.0|0|0.0|100
0|2021-10-24|32715.0|0|32715.0|0|330.0|0|0.0|100
0|2021-10-25|32715.0|0|32715.0|0|330.0|0|0.0|100
0|2021-10-26|32811.0|0|32811.0|0|335.0|0|0.0|100
0|2021-10-27|32842.0|0|32842.0|0|336.0|0|0.0|100
0|2021-10-28|32873.0|0|32873.0|0|337.0|0|0.0|100
0|2021-10-29|32904.0|0|32904.0|0|338.0|0|0.0|100
0|2021-10-30|32904.0|0|32904.0|0|338.0|0|0.0|100
0|2021-10-31|32904.0|0|32904.0|0|338.0|0|0.0|100
0|2021-11-01|32904.0|0|32904.0|0|338.0|0|0.0|100
0|2021-11-02|32965.0|0|32965.0|0|339.0|0|0.0|100
0|2021-11-03|32999.0|0|32999.0|0|341.0|0|0.0|100
0|2021-11-04|33021.0|0|33021.0|0|341.0|0|0.0|100
0|2021-11-05|33048.0|0|33048.0|0|344.0|0|0.0|100
0|2021-11-06|33048.0|0|33048.0|0|344.0|0|0.0|100
0|2021-11-07|33048.0|0|33048.0|0|344.0|0|0.0|100
0|2021-11-08|33048.0|0|33048.0|0|344.0|0|0.0|100
0|2021-11-09|33111.0|0|33111.0|0|344.0|0|0.0|100
0|2021-11-10|33111.0|0|33140.0|0|344.0|0|0.0|100
0|2021-11-11|33140.0|0|33140.0|0|344.0|0|0.0|100
0|2021-11-12|33196.0|0|33196.0|0|344.0|0|0.0|100
0|2021-11-13|33196.0|0|33196.0|0|344.0|0|0.0|100
0|2021-11-14|33196.0|0|33196.0|0|344.0|0|0.0|100
0|2021-11-15|33279.0|0|33279.0|0|344.0|0|0.0|100
0|2021-11-16|33304.0|0|33304.0|0|345.0|0|0.0|100
0|2021-11-17|33324.0|0|33324.0|0|346.0|0|0.0|100
0|2021-11-18|33359.0|0|33359.0|0|346.0|0|0.0|100
0|2021-11-19|33395.0|0|33395.0|0|347.0|0|0.0|100
0|2021-11-20|33395.0|0|33395.0|0|347.0|0|0.0|100
0|2021-11-21|33395.0|0|33395.0|0|347.0|0|0.0|100
0|2021-11-22|33439.0|0|33439.0|0|350.0|0|0.0|100
0|2021-11-23|33475.0|0|33475.0|0|350.0|0|0.0|100
0|2021-11-24|33483.0|0|33483.0|0|351.0|0|0.0|100
0|2021-11-25|33483.0|0|33483.0|0|351.0|0|0.0|100
0|2021-11-26|33483.0|0|33483.0|0|351.0|0|0.0|100
0|2021-11-27|33483.0|0|33483.0|0|351.0|0|0.0|100
0|2021-11-28|33483.0|0|33483.0|0|351.0|0|0.0|100
0|2021-11-29|33589.0|0|33589.0|0|351.0|0|0.0|100
0|2021-11-30|33621.0|0|33621.0|0|352.0|0|0.0|100
0|2021-12-01|33646.0|0|33646.0|0|353.0|0|0.0|100
0|2021-12-02|33693.0|0|33693.0|0|362.0|0|0.0|100
0|2021-12-03|33728.0|0|33728.0|0|364.0|0|0.0|100
0|2021-12-04|33728.0|0|33728.0|0|364.0|0|0.0|100
0|2021-12-05|33728.0|0|33728.0|0|364.0|0|0.0|100
0|2021-12-06|33833.0|0|33833.0|0|365.0|0|0.0|100
0|2021-12-07|33892.0|0|33892.0|0|369.0|0|0.0|100
0|2021-12-08|33944.0|0|33944.0|0|369.0|0|0.0|100
0|2021-12-09|33944.0|0|33944.0|0|369.0|0|0.0|100
0|2021-12-10|34133.0|0|34133.0|0|371.0|0|0.0|100
0|2021-12-11|34133.0|0|34133.0|0|371.0|0|0.0|100
0|2021-12-12|34133.0|0|34133.0|0|371.0|0|0.0|100
0|2021-12-13|34214.0|0|34214.0|0|371.0|0|0.0|100
0|2021-12-14|34214.0|0|34254.0|0|371.0|0|0.0|100
0|2021-12-15|34308.0|0|34308.0|0|377.0|0|0.0|100
0|2021-12-16|34367.0|0|34367.0|0|377.0|0|0.0|100
0|2021-12-17|34430.0|0|34430.0|0|377.0|0|0.0|100
0|2021-12-18|34430.0|0|34430.0|0|377.0|0|0.0|100
0|2021-12-19|34430.0|0|34430.0|0|377.0|0|0.0|100
0|2021-12-20|34566.0|0|34566.0|0|378.0|0|0.0|100
0|2021-12-21|34630.0|0|34630.0|0|384.0|0|0.0|100
0|2021-12-22|34686.0|0|34686.0|0|384.0|0|0.0|100
0|2021-12-23|34834.0|0|34834.0|0|455.0|0|0.0|100
0|2021-12-24|34834.0|0|34834.0|0|455.0|0|0.0|100
0|2021-12-25|34834.0|0|34834.0|0|455.0|0|0.0|100
0|2021-12-26|34834.0|0|34834.0|0|455.0|0|0.0|100
0|2021-12-27|35194.0|0|35194.0|0|462.0|0|0.0|100
0|2021-12-28|35412.0|0|35412.0|0|468.0|0|0.0|100
0|2021-12-29|35611.0|0|35611.0|0|466.0|0|0.0|100
0|2021-12-30|36010.0|0|36010.0|0|471.0|0|0.0|100
0|2021-12-31|36010.0|0|36010.0|0|471.0|0|0.0|100
0|2022-01-01|36010.0|0|36010.0|0|471.0|0|0.0|100
0|2022-01-02|36010.0|0|36010.0|0|471.0|0|0.0|100
0|2022-01-03|37044.0|0|37044.0|0|476.0|0|0.0|100
0|2022-01-04|37199.0|0|37199.0|0|476.0|0|0.0|100
0|2022-01-05|37199.0|0|37199.0|0|476.0|0|0.0|100
0|2022-01-06|37199.0|0|37199.0|0|476.0|0|0.0|100
0|2022-01-07|37199.0|0|37199.0|0|476.0|0|0.0|100
0|2022-01-08|37199.0|0|37199.0|0|476.0|0|0.0|100
0|2022-01-09|37199.0|0|37199.0|0|476.0|0|0.0|100
0|2022-01-10|37199.0|0|37199.0|0|476.0|0|0.0|100
