|dates|Laurens_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Laurens_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Laurens_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Laurens_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Laurens_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Laurens_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Laurens_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Laurens_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11412.0|0|11412.0|0|211.0|0|0.0|100
0|2021-10-18|11462.0|0|11462.0|0|216.0|0|0.0|100
0|2021-10-19|11471.0|0|11471.0|0|216.0|0|0.0|100
0|2021-10-20|11487.0|0|11487.0|0|216.0|0|0.0|100
0|2021-10-21|11501.0|0|11501.0|0|216.0|0|0.0|100
0|2021-10-22|11516.0|0|11516.0|0|219.0|0|0.0|100
0|2021-10-23|11516.0|0|11516.0|0|219.0|0|0.0|100
0|2021-10-24|11516.0|0|11516.0|0|219.0|0|0.0|100
0|2021-10-25|11580.0|0|11580.0|0|221.0|0|0.0|100
0|2021-10-26|11592.0|0|11592.0|0|221.0|0|0.0|100
0|2021-10-27|11635.0|0|11635.0|0|222.0|0|0.0|100
0|2021-10-28|11655.0|0|11655.0|0|223.0|0|0.0|100
0|2021-10-29|11670.0|0|11670.0|0|225.0|0|0.0|100
0|2021-10-30|11670.0|0|11670.0|0|225.0|0|0.0|100
0|2021-10-31|11670.0|0|11670.0|0|225.0|0|0.0|100
0|2021-11-01|11714.0|0|11714.0|0|225.0|0|0.0|100
0|2021-11-02|11723.0|0|11723.0|0|225.0|0|0.0|100
0|2021-11-03|11745.0|0|11745.0|0|226.0|0|0.0|100
0|2021-11-04|11778.0|0|11778.0|0|226.0|0|0.0|100
0|2021-11-05|11787.0|0|11787.0|0|226.0|0|0.0|100
0|2021-11-06|11787.0|0|11787.0|0|226.0|0|0.0|100
0|2021-11-07|11787.0|0|11787.0|0|226.0|0|0.0|100
0|2021-11-08|11823.0|0|11823.0|0|228.0|0|0.0|100
0|2021-11-09|11825.0|0|11825.0|0|228.0|0|0.0|100
0|2021-11-10|11840.0|0|11840.0|0|228.0|0|0.0|100
