|dates|Pierce_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Pierce_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Pierce_NorthDakota_UnitedStates.Male_Total_Population.data|Pierce_NorthDakota_UnitedStates.Male_Total_Population.missing|Pierce_NorthDakota_UnitedStates.Female_Total_Population.data|Pierce_NorthDakota_UnitedStates.Female_Total_Population.missing|Pierce_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Pierce_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-10-18|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-10-19|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-10-20|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-10-21|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-10-22|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-10-23|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-10-24|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-10-25|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-10-26|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-10-27|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-10-28|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-10-29|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-10-30|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-10-31|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-01|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-02|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-03|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-04|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-05|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-06|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-07|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-08|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-09|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-10|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-11|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-12|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-13|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-14|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-15|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-16|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-17|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-18|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-19|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-20|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-21|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-22|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-23|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-24|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-25|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-26|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-27|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-28|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-29|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-11-30|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-01|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-02|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-03|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-04|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-05|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-06|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-07|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-08|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-09|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-10|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-11|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-12|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-13|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-14|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-15|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-16|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-17|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-18|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-19|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-20|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-21|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-22|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-23|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-24|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-25|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-26|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-27|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-28|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-29|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-30|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2021-12-31|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2022-01-01|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2022-01-02|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2022-01-03|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2022-01-04|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2022-01-05|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2022-01-06|962.0|0|2089.0|0|1992.0|0|915.0|0
