|dates|Boulder_Colorado_UnitedStates.JHU_ConfirmedCases.data|Boulder_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Boulder_Colorado_UnitedStates.NYT_ConfirmedCases.data|Boulder_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Boulder_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Boulder_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Boulder_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Boulder_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|29863.0|0|30053.0|0|248.0|0|0.0|100
0|2021-10-18|30059.0|0|30227.0|0|250.0|0|0.0|100
0|2021-10-19|30116.0|0|30288.0|0|251.0|0|0.0|100
0|2021-10-20|30158.0|0|30345.0|0|250.0|0|0.0|100
0|2021-10-21|30278.0|0|30462.0|0|250.0|0|0.0|100
0|2021-10-22|30369.0|0|30551.0|0|250.0|0|0.0|100
0|2021-10-23|30369.0|0|30551.0|0|250.0|0|0.0|100
0|2021-10-24|30369.0|0|30551.0|0|250.0|0|0.0|100
0|2021-10-25|30571.0|0|30793.0|0|254.0|0|0.0|100
0|2021-10-26|30638.0|0|30888.0|0|256.0|0|0.0|100
0|2021-10-27|30761.0|0|31036.0|0|256.0|0|0.0|100
0|2021-10-28|30939.0|0|31175.0|0|258.0|0|0.0|100
0|2021-10-29|31066.0|0|31175.0|0|259.0|0|0.0|100
0|2021-10-30|31066.0|0|31175.0|0|259.0|0|0.0|100
0|2021-10-31|31066.0|0|31388.0|0|259.0|0|0.0|100
0|2021-11-01|31336.0|0|31582.0|0|260.0|0|0.0|100
0|2021-11-02|31441.0|0|31674.0|0|260.0|0|0.0|100
0|2021-11-03|31549.0|0|31842.0|0|260.0|0|0.0|100
0|2021-11-04|31715.0|0|31972.0|0|259.0|0|0.0|100
0|2021-11-05|31861.0|0|32123.0|0|260.0|0|0.0|100
0|2021-11-06|31861.0|0|32123.0|0|260.0|0|0.0|100
0|2021-11-07|31861.0|0|32123.0|0|260.0|0|0.0|100
0|2021-11-08|32203.0|0|32487.0|0|262.0|0|0.0|100
0|2021-11-09|32325.0|0|32624.0|0|265.0|0|0.0|100
0|2021-11-10|32325.0|0|32738.0|0|265.0|0|0.0|100
0|2021-11-11|32624.0|0|32738.0|0|265.0|0|0.0|100
0|2021-11-12|32761.0|0|33011.0|0|267.0|0|0.0|100
0|2021-11-13|32761.0|0|33011.0|0|267.0|0|0.0|100
0|2021-11-14|32761.0|0|33011.0|0|267.0|0|0.0|100
