|dates|McCreary_Kentucky_UnitedStates.JHU_ConfirmedCases.data|McCreary_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|McCreary_Kentucky_UnitedStates.NYT_ConfirmedCases.data|McCreary_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|McCreary_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|McCreary_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|McCreary_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|McCreary_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3292.0|0|3655.0|0|48.0|0|0.0|100
0|2021-10-18|3296.0|0|3655.0|0|50.0|0|0.0|100
0|2021-10-19|3304.0|0|3675.0|0|50.0|0|0.0|100
0|2021-10-20|3320.0|0|3683.0|0|51.0|0|0.0|100
0|2021-10-21|3325.0|0|3706.0|0|52.0|0|0.0|100
0|2021-10-22|3328.0|0|3706.0|0|52.0|0|0.0|100
0|2021-10-23|3328.0|0|3707.0|0|52.0|0|0.0|100
0|2021-10-24|3328.0|0|3707.0|0|52.0|0|0.0|100
0|2021-10-25|3352.0|0|3717.0|0|53.0|0|0.0|100
0|2021-10-26|3355.0|0|3729.0|0|53.0|0|0.0|100
0|2021-10-27|3361.0|0|3729.0|0|53.0|0|0.0|100
0|2021-10-28|3370.0|0|3742.0|0|54.0|0|0.0|100
0|2021-10-29|3371.0|0|3742.0|0|54.0|0|0.0|100
0|2021-10-30|3371.0|0|3744.0|0|54.0|0|0.0|100
0|2021-10-31|3371.0|0|3744.0|0|54.0|0|0.0|100
0|2021-11-01|3380.0|0|3751.0|0|54.0|0|0.0|100
0|2021-11-02|3382.0|0|3751.0|0|54.0|0|0.0|100
0|2021-11-03|3391.0|0|3766.0|0|54.0|0|0.0|100
0|2021-11-04|3405.0|0|3774.0|0|54.0|0|0.0|100
0|2021-11-05|3406.0|0|3787.0|0|54.0|0|0.0|100
0|2021-11-06|3406.0|0|3787.0|0|54.0|0|0.0|100
0|2021-11-07|3406.0|0|3787.0|0|54.0|0|0.0|100
0|2021-11-08|3436.0|0|3787.0|0|54.0|0|0.0|100
0|2021-11-09|3445.0|0|3793.0|0|55.0|0|0.0|100
0|2021-11-10|3445.0|0|3804.0|0|55.0|0|0.0|100
0|2021-11-11|3455.0|0|3813.0|0|55.0|0|0.0|100
0|2021-11-12|3487.0|0|3813.0|0|58.0|0|0.0|100
0|2021-11-13|3487.0|0|3828.0|0|58.0|0|0.0|100
0|2021-11-14|3487.0|0|3828.0|0|58.0|0|0.0|100
0|2021-11-15|3531.0|0|3828.0|0|58.0|0|0.0|100
0|2021-11-16|3553.0|0|3837.0|0|58.0|0|0.0|100
0|2021-11-17|3568.0|0|3843.0|0|58.0|0|0.0|100
0|2021-11-18|3583.0|0|3872.0|0|58.0|0|0.0|100
0|2021-11-19|3596.0|0|3872.0|0|58.0|0|0.0|100
0|2021-11-20|3596.0|0|3888.0|0|58.0|0|0.0|100
0|2021-11-21|3596.0|0|3888.0|0|58.0|0|0.0|100
0|2021-11-22|3619.0|0|3888.0|0|58.0|0|0.0|100
0|2021-11-23|3626.0|0|3898.0|0|59.0|0|0.0|100
0|2021-11-24|3638.0|0|3915.0|0|59.0|0|0.0|100
