|dates|SantaFe_NewMexico_UnitedStates.AveragePrecipitationTotal.data|SantaFe_NewMexico_UnitedStates.AveragePrecipitationTotal.missing|SantaFe_NewMexico_UnitedStates.AveragePrecipitation.data|SantaFe_NewMexico_UnitedStates.AveragePrecipitation.missing|SantaFe_NewMexico_UnitedStates.AverageWindDirection.data|SantaFe_NewMexico_UnitedStates.AverageWindDirection.missing|SantaFe_NewMexico_UnitedStates.AverageWindSpeed.data|SantaFe_NewMexico_UnitedStates.AverageWindSpeed.missing
0|2021-12-20|0.0|0|0.0|0|261.0416666666667|0|10.3125|0
0|2021-12-21|0.0|0|0.0|0|230.41666666666666|0|9.0|0
0|2021-12-22|0.0|0|0.0|0|254.79166666666666|0|9.708333333333334|0
0|2021-12-23|0.0|0|0.0|0|128.75|0|7.875|0
0|2021-12-24|0.0|0|0.012465277777777778|0|218.81944444444446|0|9.152777777777779|0
0|2021-12-25|0.01625|0|0.0020833333333333333|0|184.16666666666666|0|5.854166666666667|0
0|2021-12-26|0.0|0|0.0|0|207.08333333333334|0|12.083333333333334|0
0|2021-12-27|0.0|0|0.0|0|195.41666666666666|0|7.541666666666667|0
0|2021-12-28|0.0|0|0.0|0|259.1666666666667|0|11.395833333333334|0
0|2021-12-29|0.0|0|0.0004166666666666667|0|237.08333333333334|0|12.434027777777777|0
0|2021-12-30|0.0004166666666666667|0|0.0|0|150.0|0|6.166666666666667|0
0|2021-12-31|0.0|0|0.010972222222222222|0|162.11805555555557|0|5.586805555555556|0
0|2022-01-01|0.004916666666666666|0|0.005083333333333333|0|206.54861111111111|0|11.231944444444444|0
0|2022-01-02|0.0004166666666666667|0|0.0|0|279.1666666666667|0|10.541666666666666|0
0|2022-01-03|0.0|0|0.0|0|254.16666666666666|0|11.708333333333334|0
0|2022-01-04|0.0|0|0.0|0|251.25|0|8.291666666666666|0
0|2022-01-05|0.0|0|0.0|0|235.0|0|8.5|0
0|2022-01-06|0.0|0|0.0|0|252.91666666666666|0|9.916666666666666|0
0|2022-01-07|0.0|0|0.0|0|182.5|0|5.958333333333333|0
0|2022-01-08|0.0|0|0.0|0|217.5|0|9.458333333333334|0
0|2022-01-09|0.0|0|0.0|0|152.5|0|7.5|0
0|2022-01-10|0.0|0|0.0|0|147.91666666666666|0|9.083333333333334|0
0|2022-01-11|0.0|0|0.0|0|316.25|0|12.583333333333334|0
0|2022-01-12|0.0|0|0.0|0|329.1666666666667|0|10.166666666666666|0
0|2022-01-13|0.0|0|0.0|0|225.41666666666666|0|7.75|0
0|2022-01-14|0.0|0|0.0|0|137.91666666666666|0|7.416666666666667|0
0|2022-01-15|0.0|0|0.0|0|198.33333333333334|0|6.8125|0
0|2022-01-16|0.0|0|0.0|0|212.91666666666666|0|8.458333333333334|0
0|2022-01-17|0.0|0|0.0|0|212.08333333333334|0|8.916666666666666|0
