|dates|Darlington_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Darlington_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Darlington_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Darlington_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Darlington_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Darlington_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Darlington_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Darlington_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11788.0|0|11788.0|0|226.0|0|0.0|100
0|2021-10-18|11825.0|0|11825.0|0|226.0|0|0.0|100
0|2021-10-19|11841.0|0|11841.0|0|227.0|0|0.0|100
0|2021-10-20|11855.0|0|11855.0|0|228.0|0|0.0|100
0|2021-10-21|11868.0|0|11868.0|0|228.0|0|0.0|100
0|2021-10-22|11890.0|0|11890.0|0|227.0|0|0.0|100
0|2021-10-23|11890.0|0|11890.0|0|227.0|0|0.0|100
0|2021-10-24|11890.0|0|11890.0|0|227.0|0|0.0|100
0|2021-10-25|11927.0|0|11927.0|0|227.0|0|0.0|100
0|2021-10-26|11934.0|0|11934.0|0|227.0|0|0.0|100
0|2021-10-27|11940.0|0|11940.0|0|227.0|0|0.0|100
0|2021-10-28|11955.0|0|11955.0|0|227.0|0|0.0|100
0|2021-10-29|11964.0|0|11964.0|0|227.0|0|0.0|100
0|2021-10-30|11964.0|0|11964.0|0|227.0|0|0.0|100
0|2021-10-31|11964.0|0|11964.0|0|227.0|0|0.0|100
0|2021-11-01|11998.0|0|11998.0|0|227.0|0|0.0|100
0|2021-11-02|12006.0|0|12006.0|0|227.0|0|0.0|100
0|2021-11-03|12011.0|0|12011.0|0|227.0|0|0.0|100
0|2021-11-04|12028.0|0|12028.0|0|228.0|0|0.0|100
0|2021-11-05|12045.0|0|12045.0|0|228.0|0|0.0|100
0|2021-11-06|12045.0|0|12045.0|0|228.0|0|0.0|100
0|2021-11-07|12045.0|0|12045.0|0|228.0|0|0.0|100
0|2021-11-08|12067.0|0|12067.0|0|228.0|0|0.0|100
0|2021-11-09|12073.0|0|12073.0|0|228.0|0|0.0|100
0|2021-11-10|12086.0|0|12086.0|0|229.0|0|0.0|100
0|2021-11-11|12086.0|0|12086.0|0|229.0|0|0.0|100
0|2021-11-12|12094.0|0|12094.0|0|229.0|0|0.0|100
0|2021-11-13|12094.0|0|12094.0|0|229.0|0|0.0|100
0|2021-11-14|12094.0|0|12094.0|0|229.0|0|0.0|100
0|2021-11-15|12124.0|0|12124.0|0|230.0|0|0.0|100
0|2021-11-16|12127.0|0|12127.0|0|230.0|0|0.0|100
0|2021-11-17|12133.0|0|12133.0|0|230.0|0|0.0|100
0|2021-11-18|12150.0|0|12150.0|0|230.0|0|0.0|100
0|2021-11-19|12164.0|0|12164.0|0|230.0|0|0.0|100
0|2021-11-20|12164.0|0|12164.0|0|230.0|0|0.0|100
0|2021-11-21|12164.0|0|12164.0|0|230.0|0|0.0|100
0|2021-11-22|12201.0|0|12201.0|0|232.0|0|0.0|100
0|2021-11-23|12202.0|0|12202.0|0|232.0|0|0.0|100
0|2021-11-24|12203.0|0|12202.0|0|232.0|0|0.0|100
0|2021-11-25|12202.0|0|12202.0|0|232.0|0|0.0|100
0|2021-11-26|12210.0|0|12210.0|0|233.0|0|0.0|100
