|dates|Iberia_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Iberia_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Iberia_Louisiana_UnitedStates.NYT_ConfirmedCases.data|Iberia_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|Iberia_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Iberia_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Iberia_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Iberia_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12346.0|0|12346.0|0|223.0|0|0.0|100
0|2021-10-18|12362.0|0|12362.0|0|223.0|0|0.0|100
0|2021-10-19|12364.0|0|12364.0|0|224.0|0|0.0|100
0|2021-10-20|12368.0|0|12368.0|0|224.0|0|0.0|100
0|2021-10-21|12395.0|0|12395.0|0|224.0|0|0.0|100
0|2021-10-22|12406.0|0|12406.0|0|224.0|0|0.0|100
0|2021-10-23|12406.0|0|12406.0|0|224.0|0|0.0|100
0|2021-10-24|12406.0|0|12406.0|0|224.0|0|0.0|100
0|2021-10-25|12413.0|0|12413.0|0|224.0|0|0.0|100
0|2021-10-26|12423.0|0|12423.0|0|224.0|0|0.0|100
0|2021-10-27|12442.0|0|12442.0|0|224.0|0|0.0|100
0|2021-10-28|12451.0|0|12451.0|0|224.0|0|0.0|100
0|2021-10-29|12452.0|0|12452.0|0|225.0|0|0.0|100
0|2021-10-30|12452.0|0|12452.0|0|225.0|0|0.0|100
0|2021-10-31|12452.0|0|12452.0|0|225.0|0|0.0|100
0|2021-11-01|12482.0|0|12482.0|0|225.0|0|0.0|100
0|2021-11-02|12482.0|0|12482.0|0|225.0|0|0.0|100
0|2021-11-03|12490.0|0|12490.0|0|225.0|0|0.0|100
0|2021-11-04|12514.0|0|12514.0|0|225.0|0|0.0|100
0|2021-11-05|12516.0|0|12516.0|0|225.0|0|0.0|100
0|2021-11-06|12516.0|0|12516.0|0|225.0|0|0.0|100
0|2021-11-07|12516.0|0|12516.0|0|225.0|0|0.0|100
0|2021-11-08|12530.0|0|12530.0|0|225.0|0|0.0|100
0|2021-11-09|12533.0|0|12533.0|0|226.0|0|0.0|100
0|2021-11-10|12544.0|0|12544.0|0|226.0|0|0.0|100
0|2021-11-11|12544.0|0|12544.0|0|226.0|0|0.0|100
0|2021-11-12|12548.0|0|12548.0|0|226.0|0|0.0|100
0|2021-11-13|12548.0|0|12548.0|0|226.0|0|0.0|100
