|dates|Union_NewJersey_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Union_NewJersey_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Union_NewJersey_UnitedStates.NYT_ConfirmedDeaths.data|Union_NewJersey_UnitedStates.NYT_ConfirmedDeaths.missing|Union_NewJersey_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Union_NewJersey_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Union_NewJersey_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Union_NewJersey_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|2036.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|2037.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|2041.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|2042.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|2043.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|2043.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|2044.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|2044.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|2043.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|2043.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|2044.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|2044.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|2044.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|2044.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|2044.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|2044.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|2044.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|2044.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|2044.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|2048.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|2048.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|2048.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|2048.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|2048.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|2048.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|2049.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|2051.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|2051.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|2051.0|0|0.0|100|0.0|100
