|dates|Ottawa_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Ottawa_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Ottawa_Michigan_UnitedStates.Male_Total_Population.data|Ottawa_Michigan_UnitedStates.Male_Total_Population.missing|Ottawa_Michigan_UnitedStates.Female_Total_Population.data|Ottawa_Michigan_UnitedStates.Female_Total_Population.missing|Ottawa_Michigan_UnitedStates.MaleAndFemale_Under18_Population.data|Ottawa_Michigan_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-10-18|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-10-19|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-10-20|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-10-21|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-10-22|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-10-23|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-10-24|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-10-25|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-10-26|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-10-27|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-10-28|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-10-29|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-10-30|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-10-31|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-01|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-02|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-03|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-04|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-05|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-06|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-07|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-08|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-09|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-10|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-11|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-12|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-13|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-14|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-15|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-16|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-17|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-18|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-19|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-20|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-21|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-22|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-23|43492.0|0|143564.0|0|146930.0|0|69797.0|0
0|2021-11-24|43492.0|0|143564.0|0|146930.0|0|69797.0|0
