|dates|Stafford_Kansas_UnitedStates.JHU_ConfirmedCases.data|Stafford_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Stafford_Kansas_UnitedStates.NYT_ConfirmedCases.data|Stafford_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Stafford_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Stafford_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Stafford_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Stafford_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|559.0|0|559.0|0|16.0|0|0.0|100
0|2021-10-18|564.0|0|564.0|0|16.0|0|0.0|100
0|2021-10-19|564.0|0|564.0|0|16.0|0|0.0|100
0|2021-10-20|583.0|0|583.0|0|16.0|0|0.0|100
0|2021-10-21|583.0|0|583.0|0|16.0|0|0.0|100
0|2021-10-22|592.0|0|592.0|0|16.0|0|0.0|100
0|2021-10-23|592.0|0|592.0|0|16.0|0|0.0|100
0|2021-10-24|592.0|0|592.0|0|16.0|0|0.0|100
0|2021-10-25|596.0|0|596.0|0|16.0|0|0.0|100
0|2021-10-26|596.0|0|596.0|0|16.0|0|0.0|100
0|2021-10-27|604.0|0|604.0|0|16.0|0|0.0|100
0|2021-10-28|604.0|0|604.0|0|16.0|0|0.0|100
0|2021-10-29|608.0|0|608.0|0|16.0|0|0.0|100
0|2021-10-30|608.0|0|608.0|0|16.0|0|0.0|100
0|2021-10-31|608.0|0|608.0|0|16.0|0|0.0|100
0|2021-11-01|610.0|0|610.0|0|16.0|0|0.0|100
0|2021-11-02|610.0|0|610.0|0|16.0|0|0.0|100
0|2021-11-03|613.0|0|613.0|0|16.0|0|0.0|100
0|2021-11-04|613.0|0|613.0|0|16.0|0|0.0|100
0|2021-11-05|623.0|0|623.0|0|16.0|0|0.0|100
0|2021-11-06|623.0|0|623.0|0|16.0|0|0.0|100
0|2021-11-07|623.0|0|623.0|0|16.0|0|0.0|100
0|2021-11-08|633.0|0|633.0|0|16.0|0|0.0|100
0|2021-11-09|633.0|0|633.0|0|16.0|0|0.0|100
0|2021-11-10|633.0|0|644.0|0|16.0|0|0.0|100
0|2021-11-11|644.0|0|644.0|0|17.0|0|0.0|100
0|2021-11-12|659.0|0|659.0|0|17.0|0|0.0|100
0|2021-11-13|659.0|0|659.0|0|17.0|0|0.0|100
0|2021-11-14|659.0|0|659.0|0|17.0|0|0.0|100
0|2021-11-15|668.0|0|668.0|0|17.0|0|0.0|100
0|2021-11-16|668.0|0|668.0|0|17.0|0|0.0|100
0|2021-11-17|693.0|0|693.0|0|18.0|0|0.0|100
0|2021-11-18|693.0|0|693.0|0|18.0|0|0.0|100
0|2021-11-19|702.0|0|702.0|0|18.0|0|0.0|100
0|2021-11-20|702.0|0|702.0|0|18.0|0|0.0|100
0|2021-11-21|702.0|0|702.0|0|18.0|0|0.0|100
0|2021-11-22|709.0|0|709.0|0|18.0|0|0.0|100
0|2021-11-23|709.0|0|709.0|0|18.0|0|0.0|100
0|2021-11-24|709.0|0|723.0|0|18.0|0|0.0|100
0|2021-11-25|723.0|0|723.0|0|19.0|0|0.0|100
