|dates|Roscommon_Michigan_UnitedStates.JHU_ConfirmedCases.data|Roscommon_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Roscommon_Michigan_UnitedStates.NYT_ConfirmedCases.data|Roscommon_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Roscommon_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Roscommon_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Roscommon_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Roscommon_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2344.0|0|2344.0|0|62.0|0|0.0|100
0|2021-10-18|2391.0|0|2391.0|0|62.0|0|0.0|100
0|2021-10-19|2391.0|0|2391.0|0|62.0|0|0.0|100
0|2021-10-20|2417.0|0|2417.0|0|63.0|0|0.0|100
0|2021-10-21|2417.0|0|2417.0|0|63.0|0|0.0|100
0|2021-10-22|2484.0|0|2484.0|0|64.0|0|0.0|100
0|2021-10-23|2484.0|0|2484.0|0|64.0|0|0.0|100
0|2021-10-24|2484.0|0|2484.0|0|64.0|0|0.0|100
0|2021-10-25|2510.0|0|2510.0|0|64.0|0|0.0|100
0|2021-10-26|2510.0|0|2510.0|0|64.0|0|0.0|100
0|2021-10-27|2551.0|0|2551.0|0|65.0|0|0.0|100
0|2021-10-28|2551.0|0|2551.0|0|65.0|0|0.0|100
0|2021-10-29|2592.0|0|2592.0|0|66.0|0|0.0|100
0|2021-10-30|2592.0|0|2592.0|0|66.0|0|0.0|100
0|2021-10-31|2592.0|0|2592.0|0|66.0|0|0.0|100
0|2021-11-01|2641.0|0|2641.0|0|66.0|0|0.0|100
0|2021-11-02|2641.0|0|2641.0|0|66.0|0|0.0|100
0|2021-11-03|2704.0|0|2704.0|0|67.0|0|0.0|100
0|2021-11-04|2704.0|0|2704.0|0|67.0|0|0.0|100
0|2021-11-05|2736.0|0|2736.0|0|67.0|0|0.0|100
0|2021-11-06|2736.0|0|2736.0|0|67.0|0|0.0|100
0|2021-11-07|2736.0|0|2736.0|0|67.0|0|0.0|100
0|2021-11-08|2765.0|0|2765.0|0|67.0|0|0.0|100
0|2021-11-09|2765.0|0|2765.0|0|67.0|0|0.0|100
0|2021-11-10|2799.0|0|2799.0|0|71.0|0|0.0|100
