|dates|Wake_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Wake_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Wake_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Wake_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Wake_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Wake_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Wake_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Wake_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|126788.0|0|128440.0|0|875.0|0|0.0|100
0|2021-10-18|127347.0|0|129090.0|0|875.0|0|0.0|100
0|2021-10-19|127393.0|0|129144.0|0|875.0|0|0.0|100
0|2021-10-20|127651.0|0|129540.0|0|876.0|0|0.0|100
0|2021-10-21|127856.0|0|129589.0|0|876.0|0|0.0|100
0|2021-10-22|128027.0|0|129876.0|0|880.0|0|0.0|100
0|2021-10-23|128027.0|0|129876.0|0|880.0|0|0.0|100
0|2021-10-24|128027.0|0|129876.0|0|880.0|0|0.0|100
0|2021-10-25|128460.0|0|130240.0|0|881.0|0|0.0|100
0|2021-10-26|128591.0|0|130243.0|0|881.0|0|0.0|100
0|2021-10-27|128802.0|0|130570.0|0|881.0|0|0.0|100
0|2021-10-28|129014.0|0|130869.0|0|881.0|0|0.0|100
0|2021-10-29|129210.0|0|130960.0|0|888.0|0|0.0|100
0|2021-10-30|129210.0|0|130960.0|0|888.0|0|0.0|100
0|2021-10-31|129210.0|0|130960.0|0|888.0|0|0.0|100
0|2021-11-01|129711.0|0|131431.0|0|888.0|0|0.0|100
0|2021-11-02|129790.0|0|131431.0|0|888.0|0|0.0|100
0|2021-11-03|129980.0|0|131431.0|0|889.0|0|0.0|100
0|2021-11-04|130123.0|0|131431.0|0|889.0|0|0.0|100
0|2021-11-05|130315.0|0|131431.0|0|893.0|0|0.0|100
0|2021-11-06|130315.0|0|131431.0|0|893.0|0|0.0|100
0|2021-11-07|130315.0|0|131431.0|0|893.0|0|0.0|100
0|2021-11-08|130704.0|0|131431.0|0|894.0|0|0.0|100
0|2021-11-09|130776.0|0|132454.0|0|894.0|0|0.0|100
0|2021-11-10|131003.0|0|132681.0|0|894.0|0|0.0|100
0|2021-11-11|131003.0|0|132846.0|0|894.0|0|0.0|100
0|2021-11-12|131336.0|0|133111.0|0|898.0|0|0.0|100
0|2021-11-13|131336.0|0|133111.0|0|898.0|0|0.0|100
0|2021-11-14|131336.0|0|133111.0|0|898.0|0|0.0|100
0|2021-11-15|131796.0|0|133111.0|0|899.0|0|0.0|100
0|2021-11-16|131893.0|0|133667.0|0|899.0|0|0.0|100
