|dates|Maries_Missouri_UnitedStates.JHU_ConfirmedCases.data|Maries_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Maries_Missouri_UnitedStates.NYT_ConfirmedCases.data|Maries_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Maries_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Maries_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Maries_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Maries_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|978.0|0|978.0|0|18.0|0|0.0|100
0|2021-10-18|978.0|0|978.0|0|18.0|0|0.0|100
0|2021-10-19|980.0|0|980.0|0|19.0|0|0.0|100
0|2021-10-20|979.0|0|979.0|0|19.0|0|0.0|100
0|2021-10-21|980.0|0|980.0|0|19.0|0|0.0|100
0|2021-10-22|981.0|0|981.0|0|19.0|0|0.0|100
0|2021-10-23|981.0|0|981.0|0|19.0|0|0.0|100
0|2021-10-24|981.0|0|981.0|0|19.0|0|0.0|100
0|2021-10-25|982.0|0|982.0|0|19.0|0|0.0|100
0|2021-10-26|981.0|0|981.0|0|19.0|0|0.0|100
0|2021-10-27|982.0|0|982.0|0|19.0|0|0.0|100
0|2021-10-28|985.0|0|985.0|0|19.0|0|0.0|100
0|2021-10-29|987.0|0|987.0|0|19.0|0|0.0|100
0|2021-10-30|988.0|0|988.0|0|19.0|0|0.0|100
0|2021-10-31|988.0|0|988.0|0|19.0|0|0.0|100
0|2021-11-01|988.0|0|988.0|0|19.0|0|0.0|100
0|2021-11-02|990.0|0|990.0|0|19.0|0|0.0|100
0|2021-11-03|991.0|0|991.0|0|19.0|0|0.0|100
0|2021-11-04|992.0|0|992.0|0|19.0|0|0.0|100
0|2021-11-05|994.0|0|994.0|0|19.0|0|0.0|100
0|2021-11-06|998.0|0|998.0|0|19.0|0|0.0|100
0|2021-11-07|998.0|0|998.0|0|19.0|0|0.0|100
0|2021-11-08|998.0|0|998.0|0|19.0|0|0.0|100
0|2021-11-09|1004.0|0|1004.0|0|19.0|0|0.0|100
0|2021-11-10|1004.0|0|1006.0|0|19.0|0|0.0|100
0|2021-11-11|1006.0|0|1006.0|0|19.0|0|0.0|100
0|2021-11-12|1014.0|0|1014.0|0|19.0|0|0.0|100
0|2021-11-13|1017.0|0|1017.0|0|19.0|0|0.0|100
0|2021-11-14|1017.0|0|1017.0|0|19.0|0|0.0|100
0|2021-11-15|1018.0|0|1018.0|0|19.0|0|0.0|100
0|2021-11-16|1023.0|0|1023.0|0|19.0|0|0.0|100
0|2021-11-17|1033.0|0|1033.0|0|19.0|0|0.0|100
0|2021-11-18|1055.0|0|1055.0|0|19.0|0|0.0|100
0|2021-11-19|1056.0|0|1056.0|0|19.0|0|0.0|100
0|2021-11-20|1060.0|0|1060.0|0|19.0|0|0.0|100
0|2021-11-21|1062.0|0|1062.0|0|19.0|0|0.0|100
0|2021-11-22|1064.0|0|1064.0|0|19.0|0|0.0|100
0|2021-11-23|1065.0|0|1065.0|0|19.0|0|0.0|100
0|2021-11-24|1068.0|0|1068.0|0|19.0|0|0.0|100
0|2021-11-25|1068.0|0|1068.0|0|19.0|0|0.0|100
0|2021-11-26|1068.0|0|1068.0|0|19.0|0|0.0|100
0|2021-11-27|1068.0|0|1068.0|0|19.0|0|0.0|100
0|2021-11-28|1068.0|0|1068.0|0|19.0|0|0.0|100
0|2021-11-29|1078.0|0|1078.0|0|19.0|0|0.0|100
0|2021-11-30|1081.0|0|1081.0|0|19.0|0|0.0|100
0|2021-12-01|1086.0|0|1086.0|0|19.0|0|0.0|100
0|2021-12-02|1086.0|0|1088.0|0|19.0|0|0.0|100
0|2021-12-03|1088.0|0|1088.0|0|21.0|0|0.0|100
0|2021-12-04|1091.0|0|1091.0|0|21.0|0|0.0|100
0|2021-12-05|1092.0|0|1092.0|0|21.0|0|0.0|100
0|2021-12-06|1098.0|0|1098.0|0|21.0|0|0.0|100
0|2021-12-07|1105.0|0|1105.0|0|21.0|0|0.0|100
0|2021-12-08|1109.0|0|1109.0|0|21.0|0|0.0|100
0|2021-12-09|1116.0|0|1116.0|0|21.0|0|0.0|100
