|dates|Robertson_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Robertson_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Robertson_Kentucky_UnitedStates.Male_Total_Population.data|Robertson_Kentucky_UnitedStates.Male_Total_Population.missing|Robertson_Kentucky_UnitedStates.Female_Total_Population.data|Robertson_Kentucky_UnitedStates.Female_Total_Population.missing|Robertson_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.data|Robertson_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-10-18|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-10-19|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-10-20|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-10-21|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-10-22|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-10-23|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-10-24|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-10-25|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-10-26|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-10-27|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-10-28|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-10-29|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-10-30|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-10-31|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-01|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-02|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-03|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-04|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-05|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-06|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-07|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-08|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-09|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-10|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-11|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-12|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-13|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-14|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-15|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-16|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-17|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-18|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-19|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-20|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-21|460.0|0|1079.0|0|1056.0|0|440.0|0
