|dates|SweetGrass_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|SweetGrass_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|SweetGrass_Montana_UnitedStates.Male_Total_Population.data|SweetGrass_Montana_UnitedStates.Male_Total_Population.missing|SweetGrass_Montana_UnitedStates.Female_Total_Population.data|SweetGrass_Montana_UnitedStates.Female_Total_Population.missing|SweetGrass_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|SweetGrass_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-10-18|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-10-19|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-10-20|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-10-21|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-10-22|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-10-23|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-10-24|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-10-25|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-10-26|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-10-27|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-10-28|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-10-29|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-10-30|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-10-31|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-11-01|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-11-02|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-11-03|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-11-04|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-11-05|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-11-06|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-11-07|986.0|0|1895.0|0|1815.0|0|734.0|0
0|2021-11-08|986.0|0|1895.0|0|1815.0|0|734.0|0
