|dates|Coffee_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Coffee_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Coffee_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Coffee_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Coffee_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Coffee_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Coffee_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Coffee_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|10403.0|0|10403.0|0|150.0|0|0.0|100
0|2021-10-18|10438.0|0|10438.0|0|151.0|0|0.0|100
0|2021-10-19|10451.0|0|10451.0|0|153.0|0|0.0|100
0|2021-10-20|10468.0|0|10468.0|0|154.0|0|0.0|100
0|2021-10-21|10475.0|0|10475.0|0|155.0|0|0.0|100
0|2021-10-22|10483.0|0|10483.0|0|155.0|0|0.0|100
0|2021-10-23|10483.0|0|10483.0|0|155.0|0|0.0|100
0|2021-10-24|10483.0|0|10483.0|0|155.0|0|0.0|100
0|2021-10-25|10483.0|0|10483.0|0|155.0|0|0.0|100
0|2021-10-26|10523.0|0|10523.0|0|157.0|0|0.0|100
0|2021-10-27|10536.0|0|10536.0|0|158.0|0|0.0|100
0|2021-10-28|10546.0|0|10546.0|0|158.0|0|0.0|100
0|2021-10-29|10551.0|0|10551.0|0|159.0|0|0.0|100
0|2021-10-30|10551.0|0|10551.0|0|159.0|0|0.0|100
0|2021-10-31|10551.0|0|10551.0|0|159.0|0|0.0|100
0|2021-11-01|10551.0|0|10551.0|0|159.0|0|0.0|100
0|2021-11-02|10592.0|0|10592.0|0|159.0|0|0.0|100
0|2021-11-03|10602.0|0|10602.0|0|160.0|0|0.0|100
0|2021-11-04|10614.0|0|10614.0|0|160.0|0|0.0|100
0|2021-11-05|10619.0|0|10619.0|0|160.0|0|0.0|100
0|2021-11-06|10619.0|0|10619.0|0|160.0|0|0.0|100
0|2021-11-07|10619.0|0|10619.0|0|160.0|0|0.0|100
0|2021-11-08|10619.0|0|10619.0|0|160.0|0|0.0|100
0|2021-11-09|10657.0|0|10657.0|0|162.0|0|0.0|100
0|2021-11-10|10673.0|0|10673.0|0|163.0|0|0.0|100
0|2021-11-11|10673.0|0|10673.0|0|163.0|0|0.0|100
0|2021-11-12|10695.0|0|10695.0|0|163.0|0|0.0|100
0|2021-11-13|10695.0|0|10695.0|0|163.0|0|0.0|100
0|2021-11-14|10695.0|0|10695.0|0|163.0|0|0.0|100
0|2021-11-15|10707.0|0|10707.0|0|163.0|0|0.0|100
0|2021-11-16|10720.0|0|10720.0|0|163.0|0|0.0|100
0|2021-11-17|10739.0|0|10739.0|0|163.0|0|0.0|100
0|2021-11-18|10750.0|0|10750.0|0|163.0|0|0.0|100
0|2021-11-19|10769.0|0|10769.0|0|163.0|0|0.0|100
0|2021-11-20|10769.0|0|10769.0|0|163.0|0|0.0|100
0|2021-11-21|10769.0|0|10769.0|0|163.0|0|0.0|100
0|2021-11-22|10798.0|0|10798.0|0|164.0|0|0.0|100
0|2021-11-23|10812.0|0|10812.0|0|164.0|0|0.0|100
0|2021-11-24|10813.0|0|10813.0|0|164.0|0|0.0|100
0|2021-11-25|10813.0|0|10813.0|0|164.0|0|0.0|100
0|2021-11-26|10813.0|0|10813.0|0|164.0|0|0.0|100
0|2021-11-27|10813.0|0|10813.0|0|164.0|0|0.0|100
0|2021-11-28|10813.0|0|10813.0|0|164.0|0|0.0|100
0|2021-11-29|10860.0|0|10860.0|0|164.0|0|0.0|100
0|2021-11-30|10870.0|0|10870.0|0|164.0|0|0.0|100
0|2021-12-01|10897.0|0|10897.0|0|166.0|0|0.0|100
0|2021-12-02|10914.0|0|10914.0|0|167.0|0|0.0|100
0|2021-12-03|10925.0|0|10925.0|0|168.0|0|0.0|100
0|2021-12-04|10925.0|0|10925.0|0|168.0|0|0.0|100
0|2021-12-05|10925.0|0|10925.0|0|168.0|0|0.0|100
0|2021-12-06|10954.0|0|10954.0|0|169.0|0|0.0|100
0|2021-12-07|10968.0|0|10968.0|0|171.0|0|0.0|100
