|dates|Cass_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Cass_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Cass_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|Cass_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|Cass_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Cass_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Cass_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Cass_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|30778.0|0|30778.0|0|234.0|0|0.0|100
0|2021-10-18|30809.0|0|30809.0|0|234.0|0|0.0|100
0|2021-10-19|30981.0|0|30981.0|0|237.0|0|0.0|100
0|2021-10-20|31099.0|0|31099.0|0|237.0|0|0.0|100
0|2021-10-21|31218.0|0|31218.0|0|237.0|0|0.0|100
0|2021-10-22|31342.0|0|31342.0|0|239.0|0|0.0|100
0|2021-10-23|31459.0|0|31459.0|0|239.0|0|0.0|100
0|2021-10-24|31499.0|0|31499.0|0|239.0|0|0.0|100
0|2021-10-25|31563.0|0|31563.0|0|239.0|0|0.0|100
0|2021-10-26|31765.0|0|31765.0|0|240.0|0|0.0|100
0|2021-10-27|31909.0|0|31909.0|0|241.0|0|0.0|100
0|2021-10-28|32068.0|0|32068.0|0|242.0|0|0.0|100
0|2021-10-29|32212.0|0|32212.0|0|243.0|0|0.0|100
0|2021-10-30|32321.0|0|32321.0|0|246.0|0|0.0|100
0|2021-10-31|32363.0|0|32363.0|0|246.0|0|0.0|100
0|2021-11-01|32388.0|0|32388.0|0|246.0|0|0.0|100
0|2021-11-02|32572.0|0|32572.0|0|247.0|0|0.0|100
0|2021-11-03|32700.0|0|32700.0|0|247.0|0|0.0|100
0|2021-11-04|32814.0|0|32814.0|0|248.0|0|0.0|100
0|2021-11-05|32962.0|0|32962.0|0|248.0|0|0.0|100
0|2021-11-06|33113.0|0|33113.0|0|249.0|0|0.0|100
0|2021-11-07|33158.0|0|33158.0|0|249.0|0|0.0|100
0|2021-11-08|33189.0|0|33189.0|0|249.0|0|0.0|100
0|2021-11-09|33412.0|0|33412.0|0|249.0|0|0.0|100
0|2021-11-10|33412.0|0|33550.0|0|249.0|0|0.0|100
0|2021-11-11|33688.0|0|33688.0|0|250.0|0|0.0|100
0|2021-11-12|33812.0|0|33812.0|0|250.0|0|0.0|100
0|2021-11-13|33947.0|0|33947.0|0|252.0|0|0.0|100
0|2021-11-14|34008.0|0|34008.0|0|252.0|0|0.0|100
0|2021-11-15|34056.0|0|34056.0|0|252.0|0|0.0|100
0|2021-11-16|34261.0|0|34261.0|0|252.0|0|0.0|100
0|2021-11-17|34399.0|0|34399.0|0|254.0|0|0.0|100
0|2021-11-18|34535.0|0|34535.0|0|255.0|0|0.0|100
0|2021-11-19|34659.0|0|34659.0|0|257.0|0|0.0|100
0|2021-11-20|34782.0|0|34782.0|0|257.0|0|0.0|100
0|2021-11-21|34829.0|0|34829.0|0|257.0|0|0.0|100
0|2021-11-22|34879.0|0|34879.0|0|257.0|0|0.0|100
0|2021-11-23|35079.0|0|35079.0|0|258.0|0|0.0|100
0|2021-11-24|35186.0|0|35186.0|0|258.0|0|0.0|100
0|2021-11-25|35378.0|0|35378.0|0|259.0|0|0.0|100
0|2021-11-26|35418.0|0|35418.0|0|259.0|0|0.0|100
0|2021-11-27|35530.0|0|35530.0|0|259.0|0|0.0|100
0|2021-11-28|35576.0|0|35576.0|0|259.0|0|0.0|100
0|2021-11-29|35616.0|0|35616.0|0|259.0|0|0.0|100
0|2021-11-30|35879.0|0|35879.0|0|263.0|0|0.0|100
0|2021-12-01|36064.0|0|36064.0|0|266.0|0|0.0|100
0|2021-12-02|36226.0|0|36226.0|0|268.0|0|0.0|100
0|2021-12-03|36226.0|0|36398.0|0|268.0|0|0.0|100
0|2021-12-04|36532.0|0|36532.0|0|268.0|0|0.0|100
0|2021-12-05|36584.0|0|36584.0|0|268.0|0|0.0|100
0|2021-12-06|36614.0|0|36614.0|0|268.0|0|0.0|100
0|2021-12-07|36803.0|0|36803.0|0|268.0|0|0.0|100
0|2021-12-08|36955.0|0|36955.0|0|272.0|0|0.0|100
0|2021-12-09|37067.0|0|37067.0|0|272.0|0|0.0|100
0|2021-12-10|37181.0|0|37181.0|0|272.0|0|0.0|100
0|2021-12-11|37322.0|0|37322.0|0|274.0|0|0.0|100
0|2021-12-12|37363.0|0|37363.0|0|274.0|0|0.0|100
0|2021-12-13|37403.0|0|37403.0|0|274.0|0|0.0|100
0|2021-12-14|37403.0|0|37635.0|0|274.0|0|0.0|100
0|2021-12-15|37781.0|0|37781.0|0|279.0|0|0.0|100
0|2021-12-16|37926.0|0|37926.0|0|279.0|0|0.0|100
0|2021-12-17|38024.0|0|38024.0|0|281.0|0|0.0|100
0|2021-12-18|38088.0|0|38088.0|0|283.0|0|0.0|100
0|2021-12-19|38175.0|0|38175.0|0|283.0|0|0.0|100
0|2021-12-20|38205.0|0|38205.0|0|283.0|0|0.0|100
0|2021-12-21|38354.0|0|38354.0|0|283.0|0|0.0|100
0|2021-12-22|38491.0|0|38491.0|0|283.0|0|0.0|100
0|2021-12-23|38626.0|0|38626.0|0|283.0|0|0.0|100
0|2021-12-24|38782.0|0|38782.0|0|283.0|0|0.0|100
0|2021-12-25|38826.0|0|38826.0|0|283.0|0|0.0|100
0|2021-12-26|38841.0|0|38841.0|0|283.0|0|0.0|100
0|2021-12-27|38868.0|0|38868.0|0|283.0|0|0.0|100
0|2021-12-28|39020.0|0|39020.0|0|283.0|0|0.0|100
0|2021-12-29|39251.0|0|39251.0|0|283.0|0|0.0|100
0|2021-12-30|39497.0|0|39497.0|0|284.0|0|0.0|100
0|2021-12-31|39829.0|0|39829.0|0|286.0|0|0.0|100
0|2022-01-01|39947.0|0|39947.0|0|286.0|0|0.0|100
0|2022-01-02|39977.0|0|39977.0|0|286.0|0|0.0|100
0|2022-01-03|40066.0|0|40066.0|0|286.0|0|0.0|100
0|2022-01-04|40504.0|0|40504.0|0|286.0|0|0.0|100
0|2022-01-05|41052.0|0|41052.0|0|289.0|0|0.0|100
0|2022-01-06|41515.0|0|41515.0|0|290.0|0|0.0|100
0|2022-01-07|42105.0|0|42105.0|0|290.0|0|0.0|100
0|2022-01-08|42425.0|0|42425.0|0|290.0|0|0.0|100
0|2022-01-09|42709.0|0|42709.0|0|290.0|0|0.0|100
0|2022-01-10|42840.0|0|42840.0|0|290.0|0|0.0|100
0|2022-01-11|43543.0|0|43543.0|0|291.0|0|0.0|100
0|2022-01-12|44596.0|0|44596.0|0|292.0|0|0.0|100
0|2022-01-13|44596.0|0|45554.0|0|292.0|0|0.0|100
0|2022-01-14|46189.0|0|46189.0|0|294.0|0|0.0|100
0|2022-01-15|46858.0|0|46858.0|0|294.0|0|0.0|100
0|2022-01-16|47100.0|0|47100.0|0|294.0|0|0.0|100
0|2022-01-17|47348.0|0|0.0|100|294.0|0|0.0|100
