|dates|Fentress_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Fentress_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Fentress_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Fentress_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Fentress_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Fentress_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Fentress_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Fentress_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3576.0|0|3576.0|0|64.0|0|0.0|100
0|2021-10-18|3587.0|0|3587.0|0|64.0|0|0.0|100
0|2021-10-19|3591.0|0|3591.0|0|64.0|0|0.0|100
0|2021-10-20|3603.0|0|3603.0|0|65.0|0|0.0|100
0|2021-10-21|3613.0|0|3613.0|0|65.0|0|0.0|100
0|2021-10-22|3621.0|0|3621.0|0|66.0|0|0.0|100
0|2021-10-23|3621.0|0|3621.0|0|66.0|0|0.0|100
0|2021-10-24|3621.0|0|3621.0|0|66.0|0|0.0|100
0|2021-10-25|3621.0|0|3621.0|0|66.0|0|0.0|100
0|2021-10-26|3654.0|0|3654.0|0|66.0|0|0.0|100
0|2021-10-27|3657.0|0|3657.0|0|66.0|0|0.0|100
0|2021-10-28|3664.0|0|3664.0|0|67.0|0|0.0|100
0|2021-10-29|3667.0|0|3667.0|0|67.0|0|0.0|100
0|2021-10-30|3667.0|0|3667.0|0|67.0|0|0.0|100
0|2021-10-31|3667.0|0|3667.0|0|67.0|0|0.0|100
0|2021-11-01|3667.0|0|3667.0|0|67.0|0|0.0|100
0|2021-11-02|3680.0|0|3680.0|0|67.0|0|0.0|100
0|2021-11-03|3682.0|0|3682.0|0|67.0|0|0.0|100
0|2021-11-04|3686.0|0|3686.0|0|67.0|0|0.0|100
0|2021-11-05|3691.0|0|3691.0|0|67.0|0|0.0|100
0|2021-11-06|3691.0|0|3691.0|0|67.0|0|0.0|100
