|dates|Kalawao_Hawaii_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kalawao_Hawaii_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kalawao_Hawaii_UnitedStates.Male_Total_Population.data|Kalawao_Hawaii_UnitedStates.Male_Total_Population.missing|Kalawao_Hawaii_UnitedStates.Female_Total_Population.data|Kalawao_Hawaii_UnitedStates.Female_Total_Population.missing|Kalawao_Hawaii_UnitedStates.MaleAndFemale_Under18_Population.data|Kalawao_Hawaii_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-10-18|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-10-19|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-10-20|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-10-21|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-10-22|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-10-23|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-10-24|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-10-25|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-10-26|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-10-27|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-10-28|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-10-29|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-10-30|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-10-31|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-01|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-02|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-03|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-04|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-05|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-06|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-07|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-08|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-09|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-10|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-11|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-12|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-13|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-14|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-15|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-16|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-17|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-18|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-19|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-20|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-21|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-22|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-23|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-24|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-25|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-26|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-27|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-28|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-29|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-11-30|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-01|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-02|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-03|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-04|37.0|0|41.0|0|47.0|0|0.0|0
