|dates|Scott_Missouri_UnitedStates.JHU_ConfirmedCases.data|Scott_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Scott_Missouri_UnitedStates.NYT_ConfirmedCases.data|Scott_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Scott_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Scott_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Scott_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Scott_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7099.0|0|7099.0|0|111.0|0|0.0|100
0|2021-10-18|7099.0|0|7099.0|0|111.0|0|0.0|100
0|2021-10-19|7118.0|0|7118.0|0|111.0|0|0.0|100
0|2021-10-20|7126.0|0|7126.0|0|113.0|0|0.0|100
0|2021-10-21|7132.0|0|7132.0|0|113.0|0|0.0|100
0|2021-10-22|7137.0|0|7137.0|0|113.0|0|0.0|100
0|2021-10-23|7145.0|0|7145.0|0|113.0|0|0.0|100
0|2021-10-24|7146.0|0|7146.0|0|113.0|0|0.0|100
0|2021-10-25|7147.0|0|7147.0|0|113.0|0|0.0|100
0|2021-10-26|7151.0|0|7151.0|0|113.0|0|0.0|100
0|2021-10-27|7155.0|0|7155.0|0|114.0|0|0.0|100
0|2021-10-28|7160.0|0|7160.0|0|114.0|0|0.0|100
0|2021-10-29|7174.0|0|7174.0|0|114.0|0|0.0|100
0|2021-10-30|7179.0|0|7179.0|0|114.0|0|0.0|100
0|2021-10-31|7182.0|0|7182.0|0|114.0|0|0.0|100
0|2021-11-01|7183.0|0|7183.0|0|114.0|0|0.0|100
0|2021-11-02|7191.0|0|7191.0|0|115.0|0|0.0|100
0|2021-11-03|7196.0|0|7196.0|0|117.0|0|0.0|100
0|2021-11-04|7203.0|0|7203.0|0|117.0|0|0.0|100
0|2021-11-05|7212.0|0|7212.0|0|117.0|0|0.0|100
0|2021-11-06|7221.0|0|7221.0|0|117.0|0|0.0|100
0|2021-11-07|7224.0|0|7224.0|0|117.0|0|0.0|100
0|2021-11-08|7226.0|0|7226.0|0|117.0|0|0.0|100
0|2021-11-09|7237.0|0|7237.0|0|117.0|0|0.0|100
0|2021-11-10|7237.0|0|7248.0|0|117.0|0|0.0|100
0|2021-11-11|7248.0|0|7248.0|0|119.0|0|0.0|100
0|2021-11-12|7272.0|0|7272.0|0|120.0|0|0.0|100
0|2021-11-13|7286.0|0|7286.0|0|120.0|0|0.0|100
0|2021-11-14|7290.0|0|7290.0|0|120.0|0|0.0|100
0|2021-11-15|7292.0|0|7292.0|0|120.0|0|0.0|100
0|2021-11-16|7302.0|0|7302.0|0|120.0|0|0.0|100
0|2021-11-17|7323.0|0|7323.0|0|120.0|0|0.0|100
0|2021-11-18|7439.0|0|7439.0|0|120.0|0|0.0|100
0|2021-11-19|7467.0|0|7467.0|0|120.0|0|0.0|100
0|2021-11-20|7481.0|0|7481.0|0|120.0|0|0.0|100
0|2021-11-21|7481.0|0|7481.0|0|120.0|0|0.0|100
0|2021-11-22|7483.0|0|7483.0|0|120.0|0|0.0|100
0|2021-11-23|7495.0|0|7495.0|0|120.0|0|0.0|100
0|2021-11-24|7539.0|0|7539.0|0|120.0|0|0.0|100
0|2021-11-25|7539.0|0|7539.0|0|120.0|0|0.0|100
0|2021-11-26|7539.0|0|7539.0|0|120.0|0|0.0|100
0|2021-11-27|7539.0|0|7539.0|0|120.0|0|0.0|100
0|2021-11-28|7539.0|0|7539.0|0|120.0|0|0.0|100
0|2021-11-29|7569.0|0|7569.0|0|120.0|0|0.0|100
0|2021-11-30|7590.0|0|7590.0|0|120.0|0|0.0|100
0|2021-12-01|7600.0|0|7600.0|0|120.0|0|0.0|100
0|2021-12-02|7600.0|0|7619.0|0|120.0|0|0.0|100
0|2021-12-03|7619.0|0|7619.0|0|132.0|0|0.0|100
0|2021-12-04|7650.0|0|7650.0|0|132.0|0|0.0|100
