|dates|Colfax_NewMexico_UnitedStates.JHU_ConfirmedCases.data|Colfax_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|Colfax_NewMexico_UnitedStates.NYT_ConfirmedCases.data|Colfax_NewMexico_UnitedStates.NYT_ConfirmedCases.missing|Colfax_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|Colfax_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|Colfax_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|Colfax_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1239.0|0|1390.0|0|47.0|0|0.0|100
0|2021-10-18|1255.0|0|1406.0|0|47.0|0|0.0|100
0|2021-10-19|1262.0|0|1413.0|0|47.0|0|0.0|100
0|2021-10-20|1268.0|0|1419.0|0|47.0|0|0.0|100
0|2021-10-21|1274.0|0|1425.0|0|47.0|0|0.0|100
0|2021-10-22|1283.0|0|1434.0|0|47.0|0|0.0|100
0|2021-10-23|1283.0|0|1434.0|0|47.0|0|0.0|100
0|2021-10-24|1283.0|0|1434.0|0|47.0|0|0.0|100
0|2021-10-25|1309.0|0|1460.0|0|47.0|0|0.0|100
0|2021-10-26|1314.0|0|1465.0|0|47.0|0|0.0|100
0|2021-10-27|1323.0|0|1474.0|0|47.0|0|0.0|100
0|2021-10-28|1331.0|0|1482.0|0|47.0|0|0.0|100
0|2021-10-29|1343.0|0|1494.0|0|47.0|0|0.0|100
0|2021-10-30|1343.0|0|1494.0|0|47.0|0|0.0|100
0|2021-10-31|1343.0|0|1494.0|0|47.0|0|0.0|100
0|2021-11-01|1365.0|0|1516.0|0|47.0|0|0.0|100
0|2021-11-02|1377.0|0|1528.0|0|47.0|0|0.0|100
0|2021-11-03|1390.0|0|1541.0|0|47.0|0|0.0|100
0|2021-11-04|1396.0|0|1547.0|0|47.0|0|0.0|100
0|2021-11-05|1401.0|0|1552.0|0|47.0|0|0.0|100
0|2021-11-06|1401.0|0|1552.0|0|47.0|0|0.0|100
0|2021-11-07|1401.0|0|1552.0|0|47.0|0|0.0|100
0|2021-11-08|1441.0|0|1592.0|0|47.0|0|0.0|100
0|2021-11-09|1457.0|0|1608.0|0|47.0|0|0.0|100
0|2021-11-10|1457.0|0|1618.0|0|47.0|0|0.0|100
0|2021-11-11|1467.0|0|1618.0|0|48.0|0|0.0|100
0|2021-11-12|1501.0|0|1652.0|0|49.0|0|0.0|100
0|2021-11-13|1501.0|0|1652.0|0|49.0|0|0.0|100
0|2021-11-14|1501.0|0|1652.0|0|49.0|0|0.0|100
0|2021-11-15|1513.0|0|1664.0|0|49.0|0|0.0|100
0|2021-11-16|1530.0|0|1681.0|0|49.0|0|0.0|100
0|2021-11-17|1543.0|0|1694.0|0|49.0|0|0.0|100
0|2021-11-18|1551.0|0|1702.0|0|50.0|0|0.0|100
0|2021-11-19|1556.0|0|1710.0|0|50.0|0|0.0|100
0|2021-11-20|1556.0|0|1710.0|0|50.0|0|0.0|100
0|2021-11-21|1556.0|0|1710.0|0|50.0|0|0.0|100
0|2021-11-22|1583.0|0|1737.0|0|50.0|0|0.0|100
0|2021-11-23|1591.0|0|1766.0|0|50.0|0|0.0|100
0|2021-11-24|1594.0|0|1771.0|0|51.0|0|0.0|100
0|2021-11-25|1594.0|0|1771.0|0|51.0|0|0.0|100
0|2021-11-26|1594.0|0|1771.0|0|51.0|0|0.0|100
0|2021-11-27|1594.0|0|1771.0|0|51.0|0|0.0|100
0|2021-11-28|1594.0|0|1771.0|0|51.0|0|0.0|100
0|2021-11-29|1606.0|0|1783.0|0|51.0|0|0.0|100
0|2021-11-30|1615.0|0|1858.0|0|51.0|0|0.0|100
0|2021-12-01|1623.0|0|1866.0|0|51.0|0|0.0|100
