|dates|Johnson_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Johnson_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Johnson_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Johnson_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Johnson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Johnson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Johnson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Johnson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3646.0|0|3646.0|0|46.0|0|0.0|100
0|2021-10-18|3655.0|0|3655.0|0|46.0|0|0.0|100
0|2021-10-19|3661.0|0|3661.0|0|46.0|0|0.0|100
0|2021-10-20|3666.0|0|3666.0|0|46.0|0|0.0|100
0|2021-10-21|3677.0|0|3677.0|0|46.0|0|0.0|100
0|2021-10-22|3681.0|0|3681.0|0|46.0|0|0.0|100
0|2021-10-23|3681.0|0|3681.0|0|46.0|0|0.0|100
0|2021-10-24|3681.0|0|3681.0|0|46.0|0|0.0|100
0|2021-10-25|3692.0|0|3692.0|0|46.0|0|0.0|100
0|2021-10-26|3694.0|0|3694.0|0|46.0|0|0.0|100
0|2021-10-27|3702.0|0|3702.0|0|47.0|0|0.0|100
0|2021-10-28|3721.0|0|3721.0|0|47.0|0|0.0|100
0|2021-10-29|3721.0|0|3721.0|0|47.0|0|0.0|100
0|2021-10-30|3721.0|0|3721.0|0|47.0|0|0.0|100
0|2021-10-31|3721.0|0|3721.0|0|47.0|0|0.0|100
0|2021-11-01|3725.0|0|3725.0|0|48.0|0|0.0|100
0|2021-11-02|3734.0|0|3734.0|0|48.0|0|0.0|100
0|2021-11-03|3762.0|0|3762.0|0|48.0|0|0.0|100
0|2021-11-04|3768.0|0|3768.0|0|48.0|0|0.0|100
0|2021-11-05|3784.0|0|3784.0|0|48.0|0|0.0|100
0|2021-11-06|3784.0|0|3784.0|0|48.0|0|0.0|100
0|2021-11-07|3784.0|0|3784.0|0|48.0|0|0.0|100
0|2021-11-08|3787.0|0|3787.0|0|48.0|0|0.0|100
0|2021-11-09|3790.0|0|3790.0|0|49.0|0|0.0|100
0|2021-11-10|3790.0|0|3801.0|0|49.0|0|0.0|100
0|2021-11-11|3801.0|0|3801.0|0|49.0|0|0.0|100
0|2021-11-12|3811.0|0|3811.0|0|49.0|0|0.0|100
0|2021-11-13|3811.0|0|3811.0|0|49.0|0|0.0|100
0|2021-11-14|3811.0|0|3811.0|0|49.0|0|0.0|100
0|2021-11-15|3821.0|0|3821.0|0|50.0|0|0.0|100
0|2021-11-16|3831.0|0|3831.0|0|50.0|0|0.0|100
0|2021-11-17|3839.0|0|3839.0|0|50.0|0|0.0|100
0|2021-11-18|3864.0|0|3864.0|0|50.0|0|0.0|100
0|2021-11-19|3868.0|0|3868.0|0|51.0|0|0.0|100
0|2021-11-20|3868.0|0|3868.0|0|51.0|0|0.0|100
0|2021-11-21|3868.0|0|3868.0|0|51.0|0|0.0|100
0|2021-11-22|3886.0|0|3886.0|0|55.0|0|0.0|100
0|2021-11-23|3890.0|0|3890.0|0|60.0|0|0.0|100
0|2021-11-24|3901.0|0|3901.0|0|62.0|0|0.0|100
0|2021-11-25|3901.0|0|3901.0|0|62.0|0|0.0|100
0|2021-11-26|3901.0|0|3901.0|0|62.0|0|0.0|100
0|2021-11-27|3901.0|0|3901.0|0|62.0|0|0.0|100
0|2021-11-28|3901.0|0|3901.0|0|62.0|0|0.0|100
0|2021-11-29|3919.0|0|3919.0|0|62.0|0|0.0|100
0|2021-11-30|3930.0|0|3930.0|0|64.0|0|0.0|100
0|2021-12-01|3941.0|0|3941.0|0|64.0|0|0.0|100
0|2021-12-02|3941.0|0|3946.0|0|64.0|0|0.0|100
0|2021-12-03|3955.0|0|3955.0|0|67.0|0|0.0|100
0|2021-12-04|3955.0|0|3955.0|0|67.0|0|0.0|100
0|2021-12-05|3955.0|0|3955.0|0|67.0|0|0.0|100
0|2021-12-06|3962.0|0|3962.0|0|71.0|0|0.0|100
0|2021-12-07|3973.0|0|3973.0|0|73.0|0|0.0|100
0|2021-12-08|3984.0|0|3984.0|0|73.0|0|0.0|100
0|2021-12-09|4006.0|0|4006.0|0|74.0|0|0.0|100
0|2021-12-10|4020.0|0|4020.0|0|74.0|0|0.0|100
0|2021-12-11|4020.0|0|4020.0|0|74.0|0|0.0|100
