|dates|Bleckley_Georgia_UnitedStates.JHU_ConfirmedCases.data|Bleckley_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Bleckley_Georgia_UnitedStates.NYT_ConfirmedCases.data|Bleckley_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Bleckley_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Bleckley_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Bleckley_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Bleckley_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2284.0|0|2310.0|0|68.0|0|0.0|100
0|2021-10-18|2285.0|0|2311.0|0|70.0|0|0.0|100
0|2021-10-19|2287.0|0|2313.0|0|70.0|0|0.0|100
0|2021-10-20|2289.0|0|2315.0|0|72.0|0|0.0|100
0|2021-10-21|2293.0|0|2319.0|0|72.0|0|0.0|100
0|2021-10-22|2293.0|0|2319.0|0|73.0|0|0.0|100
0|2021-10-23|2293.0|0|2319.0|0|73.0|0|0.0|100
0|2021-10-24|2293.0|0|2319.0|0|73.0|0|0.0|100
0|2021-10-25|2034.0|0|2323.0|0|53.0|0|0.0|100
0|2021-10-26|2297.0|0|2323.0|0|74.0|0|0.0|100
0|2021-10-27|2299.0|0|2325.0|0|74.0|0|0.0|100
0|2021-10-28|2301.0|0|2327.0|0|74.0|0|0.0|100
0|2021-10-29|2301.0|0|2327.0|0|74.0|0|0.0|100
0|2021-10-30|2301.0|0|2327.0|0|74.0|0|0.0|100
0|2021-10-31|2301.0|0|2327.0|0|74.0|0|0.0|100
0|2021-11-01|2303.0|0|2329.0|0|75.0|0|0.0|100
0|2021-11-02|2303.0|0|2329.0|0|75.0|0|0.0|100
0|2021-11-03|2305.0|0|2331.0|0|75.0|0|0.0|100
0|2021-11-04|2305.0|0|2331.0|0|75.0|0|0.0|100
0|2021-11-05|2307.0|0|2333.0|0|78.0|0|0.0|100
0|2021-11-06|2307.0|0|2333.0|0|78.0|0|0.0|100
0|2021-11-07|2307.0|0|2333.0|0|78.0|0|0.0|100
0|2021-11-08|2307.0|0|2332.0|0|78.0|0|0.0|100
0|2021-11-09|2311.0|0|2336.0|0|78.0|0|0.0|100
0|2021-11-10|2311.0|0|2337.0|0|78.0|0|0.0|100
0|2021-11-11|2312.0|0|2337.0|0|80.0|0|0.0|100
0|2021-11-12|2316.0|0|2341.0|0|80.0|0|0.0|100
0|2021-11-13|2316.0|0|2341.0|0|80.0|0|0.0|100
0|2021-11-14|2316.0|0|2341.0|0|80.0|0|0.0|100
0|2021-11-15|2319.0|0|2344.0|0|80.0|0|0.0|100
0|2021-11-16|2320.0|0|2345.0|0|81.0|0|0.0|100
0|2021-11-17|2322.0|0|2347.0|0|81.0|0|0.0|100
0|2021-11-18|2322.0|0|2347.0|0|81.0|0|0.0|100
0|2021-11-19|2324.0|0|2349.0|0|81.0|0|0.0|100
0|2021-11-20|2324.0|0|2349.0|0|81.0|0|0.0|100
0|2021-11-21|2324.0|0|2349.0|0|81.0|0|0.0|100
